increase_frequency:5000,first_frequency:5,last_frequency:100
frequency,transmission_ep,receiving_ep
5kHz,,
5,0.1,0
5,0.02,0
5,0,0
5,0,0
5,0.01,0
10.0kHz,,
10,0.09,0
10,0.11,0
10,0.16,0
10,0.21,0
10,0.11,0
15.0kHz,,
15,0.17,0.01
15,0.05,0.01
15,0.04,0.01
15,0.14,0.01
15,0.06,0.01
20.0kHz,,
20,0.08,0
stop,,
increase_frequency:5000,first_frequency:5,last_frequency:100
frequency,transmission_ep,receiving_ep
5kHz,,
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0.01,0
5,0,0
5,0,0
5,0.01,0
5,0,0
5,0.01,0
5,0.01,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0.01,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0.03,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0.02,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
10.0kHz,,
10,0.12,0
10,0.07,0
10,0.12,0
10,0.17,0
10,0.14,0
10,0.1,0
10,0.13,0
10,0.19,0
10,0.14,0
10,0.09,0
10,0.1,0
10,0.16,0
10,0.15,0
10,0.08,0
10,0.07,0
10,0.16,0
10,0.17,0
10,0.08,0
10,0.11,0
10,0.16,0
10,0.19,0
10,0.1,0
10,0.09,0
10,0.15,0
10,0.16,0
10,0.11,0
10,0.06,0
10,0.15,0
10,0.17,0.01
10,0.12,0
10,0.11,0
10,0.14,0
10,0.2,0
10,0.12,0
10,0.08,0
10,0.12,0
10,0.16,0
10,0.13,0
10,0.07,0
10,0.11,0
10,0.17,0
10,0.14,0
10,0.07,0
10,0.12,0
10,0.18,0
10,0.18,0
10,0.09,0
10,0.1,0
10,0.17,0
10,0.15,0
15.0kHz,,
15,0.12,0
15,0.08,0.01
15,0,0.01
15,0.13,0.01
15,0.13,0.01
15,0.03,0.01
15,0.1,0.01
15,0.09,0
15,0.02,0.01
15,0.12,0.01
15,0.15,0.01
15,0.03,0.01
15,0.08,0.01
15,0.1,0.01
15,0.03,0
15,0.1,0.02
15,0.15,0.01
15,0.03,0
15,0.06,0
15,0,0.01
15,0.05,0.01
15,0,0
15,0.15,0.01
15,0.1,0
15,0.05,0
15,0.15,0
15,0.06,0
15,0.01,0.01
15,0.15,0
15,0.11,0.01
15,0.04,0.01
15,0.12,0
15,0.08,0.01
15,0.01,0.01
15,0.13,0.01
15,0.13,0.01
15,0.04,0.01
15,0.11,0.01
15,0.09,0
15,0.02,0.01
15,0.12,0.01
15,0.14,0.01
15,0.04,0.01
15,0.09,0.01
15,0.08,0.01
15,0.03,0.01
15,0.02,0
15,0.14,0.01
15,0.07,0.01
15,0.07,0.01
20.0kHz,,
20,0.07,0
20,0.18,0
20,0.08,0
20,0.13,0
20,0.11,0
20,0.14,0
20,0.19,0
20,0.07,0
20,0.17,0
20,0.13,0
20,0.12,0
20,0.12,0
20,0.06,0
20,0.17,0
20,0.15,0
20,0.11,0
20,0.14,0
20,0.08,0
20,0.18,0
20,0.09,0
20,0.08,0
20,0.16,0
20,0.1,0
20,0.17,0
20,0.09,0
20,0.06,0
20,0.17,0
20,0.09,0
20,0.16,0
20,0.1,0
20,0.15,0
20,0.19,0
20,0.08,0
20,0.17,0
20,0.12,0
20,0.14,0
20,0.17,0
20,0.07,0
20,0.17,0
20,0.13,0
20,0.13,0
20,0.12,0
20,0.06,0
20,0.19,0
20,0.08,0
20,0.1,0
20,0.15,0
20,0.33,0
20,0.18,0
20,0.09,0
25.0kHz,,
25,0.67,0.17
25,0.67,0.18
25,0.67,0.18
25,0.67,0.18
25,0.66,0.18
25,0.67,0.18
25,0.68,0.18
25,0.68,0.18
25,0.67,0.18
25,0.68,0.18
25,0.67,0.18
25,0.68,0.18
25,0.68,0.18
25,0.68,0.18
25,0.65,0.17
25,0.67,0.18
25,0.68,0.18
25,0.68,0.18
25,0.68,0.18
25,0.65,0.18
25,0.67,0.19
25,0.68,0.18
25,0.68,0.18
25,0.68,0.18
25,0.7,0.17
25,0.66,0.18
25,0.67,0.18
25,0.68,0.18
25,0.68,0.18
25,0.66,0.18
25,0.66,0.18
25,0.68,0.18
25,0.68,0.18
25,0.68,0.18
25,0.62,0.18
25,0.66,0.18
25,0.67,0.18
25,0.68,0.18
25,0.68,0.18
25,0.67,0.18
25,0.65,0.18
25,0.68,0.18
25,0.67,0.18
25,0.68,0.18
25,0.63,0.18
25,0.66,0.18
25,0.67,0.18
25,0.68,0.14
25,0.68,0.18
25,0.66,0.2
30.0kHz,,
30,0.16,0.03
30,0.07,0
30,0.11,0
30,0.1,0
30,0.07,0
30,0.14,0
30,0.05,0
30,0.14,0
30,0.07,0
30,0.09,0
30,0.08,0
30,0.15,0
30,0.06,0
30,0.12,0.01
30,0.11,0
30,0.06,0
30,0.15,0
30,0.04,0
30,0.15,0
30,0.06,0
30,0.11,0
30,0.12,0
30,0.06,0
30,0.14,0
30,0.05,0
30,0.13,0
30,0.08,0
30,0.1,0
30,0.12,0
30,0.06,0
30,0.14,0
30,0.06,0
30,0.11,0
30,0.09,0
30,0.04,0
30,0.03,0
30,0.14,0
30,0.08,0
30,0.1,0
30,0.13,0
30,0.06,0
30,0.15,0
30,0.05,0
30,0.13,0
30,0.08,0
30,0.08,0
30,0.12,0
30,0.05,0
30,0.15,0
30,0.06,0
35.0kHz,,
35,0.97,0.25
35,0.73,0.26
35,0.97,0.25
35,1.07,0.26
35,0.77,0.23
35,0.98,0.26
35,1,0.26
35,0.75,0.3
35,0.93,0.26
35,1.06,0.26
35,0.76,0.27
35,0.85,0.26
35,0.88,0.26
35,0.79,0.26
35,0.89,0.26
35,1.06,0.26
35,0.82,0.26
35,0.81,0.26
35,1.08,0.26
35,0.87,0.26
35,0.79,0.26
35,1.07,0.26
35,0.86,0.26
35,0.8,0.26
35,1.06,0.26
35,0.92,0.26
35,0.74,0.26
35,1.03,0.26
35,0.98,0.26
35,0.97,0.26
35,1.03,0.26
35,0.96,0.26
35,0.75,0.27
35,0.99,0.26
35,1.02,0.26
35,0.74,0.26
35,0.92,0.26
35,1.06,0.26
35,0.77,0.23
35,0.95,0.26
35,1.04,0.26
35,0.78,0.26
35,0.88,0.26
35,1.09,0.26
35,0.83,0.26
35,0.83,0.26
35,0.89,0.26
35,0.82,0.26
35,0.84,0.26
35,1.07,0.26
40.0kHz,,
40,0.89,0.3
40,0.95,0.31
40,1.04,0.29
40,1.16,0.29
40,1.05,0.3
40,1.02,0.3
40,0.97,0.3
40,0.97,0.3
40,0.91,0.29
40,0.84,0.3
40,0.79,0.31
40,0.85,0.3
40,0.88,0.3
40,0.96,0.3
40,0.97,0.31
40,1.01,0.29
40,1.04,0.3
40,1.03,0.3
40,1.01,0.3
40,0.94,0.3
40,0.87,0.3
40,0.88,0.3
40,0.84,0.3
40,0.84,0.32
40,0.88,0.3
40,0.91,0.3
40,0.98,0.3
40,1.04,0.3
40,0.95,0.31
40,1.05,0.3
40,1,0.3
40,0.92,0.3
40,0.94,0.28
40,0.86,0.3
40,0.82,0.3
40,0.88,0.3
40,0.87,0.32
40,0.91,0.3
40,1,0.3
40,0.99,0.3
40,1.04,0.3
40,1.05,0.31
40,1,0.3
40,0.99,0.3
40,0.9,0.3
40,0.86,0.33
40,0.6,0.29
40,0.87,0.29
40,0.86,0.29
40,0.95,0.29
45.0kHz,,
45,0.49,0.13
45,0.59,0.12
45,0.43,0.11
45,0.47,0.1
45,0.43,0.1
45,0.42,0.1
45,0.5,0.11
45,0.47,0.11
45,0.67,0.1
45,0.46,0.11
45,0.46,0.1
45,0.44,0.11
45,0.46,0.11
45,0.53,0.11
45,0.55,0.11
45,0.49,0.11
45,0.45,0.15
45,0.5,0.1
45,0.48,0.12
45,0.5,0.12
45,0.54,0.12
45,0.54,0.12
45,0.46,0.12
45,0.44,0.12
45,0.57,0.14
45,0.52,0.12
45,0.52,0.12
45,0.53,0.12
45,0.52,0.12
45,0.49,0.12
45,0.45,0.12
45,0.55,0.13
45,0.54,0.12
45,0.51,0.12
45,0.51,0.12
45,0.52,0.12
45,0.46,0.12
45,0.55,0.12
45,0.55,0.12
45,0.54,0.15
45,0.5,0.13
45,0.49,0.13
45,0.52,0.12
45,0.49,0.12
45,0.5,0.12
45,0.55,0.12
45,0.56,0.12
45,0.5,0.11
45,0.48,0.12
45,0.47,0.12
50.0kHz,,
50,0.28,0.03
50,0.22,0.01
50,0.22,0.01
50,0.24,0.01
50,0.29,0.01
50,0.28,0.01
50,0.21,0.01
50,0.22,0.01
50,0.22,0
50,0.13,0.01
50,0.27,0.01
50,0.21,0.01
50,0.22,0.01
50,0.24,0.01
50,0.22,0.02
50,0.28,0.01
50,0.21,0.04
50,0.22,0.01
50,0.24,0.02
50,0.19,0.01
50,0.27,0.01
50,0.21,0.01
50,0.22,0.01
50,0.25,0.01
50,0.2,0.01
50,0.27,0.01
50,0.21,0.01
50,0.29,0.01
50,0.25,0.01
50,0.22,0.01
50,0.27,0.01
50,0.21,0.01
50,0.22,0.01
50,0.25,0.01
50,0.21,0.01
50,0.26,0.01
50,0.21,0.01
50,0.28,0.01
50,0.25,0.01
50,0.24,0.01
50,0.27,0.01
50,0.21,0.01
50,0.22,0.01
50,0.25,0.01
50,0.2,0.01
50,0.26,0.01
50,0.21,0
50,0.21,0.01
50,0.23,0
50,0.22,0.03
55.0kHz,,
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
60.0kHz,,
60,0.24,0
60,0.22,0
60,0.21,0
60,0.19,0
60,0.17,0
60,0.17,0
60,0.17,0
60,0.18,0
60,0.19,0
60,0.22,0
60,0.3,0
60,0.17,0
60,0.16,0
60,0.18,0
60,0.21,0
60,0.23,0
60,0.24,0.02
60,0.25,0
60,0.24,0
60,0.24,0
60,0.22,0
60,0.21,0
60,0.05,0
60,0.26,0
60,0.25,0
60,0.23,0
60,0.22,0
60,0.2,0
60,0.19,0.02
60,0.17,0
60,0.17,0
60,0.17,0
60,0.19,0
60,0.21,0
60,0.44,0
60,0.2,0
60,0.16,0
60,0.18,0
60,0.2,0
60,0.22,0
60,0.23,0.03
60,0.24,0
60,0.24,0
60,0.24,0
60,0.22,0
60,0.21,0
60,0,0
60,0.21,0
60,0.27,0
60,0.24,0
65.0kHz,,
65,0.48,0.01
65,0.45,0.01
65,0.43,0.01
65,0.42,0.02
65,0.41,0.01
65,0.42,0.01
65,0.42,0.01
65,0.43,0
65,0.46,0.01
65,0.49,0.01
65,0.52,0.01
65,0.53,0.01
65,0.53,0.01
65,0.3,0.01
65,0.46,0.01
65,0.49,0.01
65,0.5,0.01
65,0.51,0.01
65,0.51,0.01
65,0.5,0.01
65,0.48,0.01
65,0.47,0.01
65,0.44,0.01
65,0.43,0.01
65,0.43,0.01
65,0.45,0.01
65,0.66,0.02
65,0.46,0.01
65,0.43,0.01
65,0.42,0.01
65,0.41,0
65,0.43,0.01
65,0.43,0.01
65,0.44,0.01
65,0.47,0.01
65,0.5,0.01
65,0.51,0.01
65,0.54,0.01
65,0.49,0.02
65,0.23,0.01
65,0.47,0.01
65,0.5,0.01
65,0.52,0.02
65,0.52,0.01
65,0.52,0.01
65,0.51,0.02
65,0.48,0.01
65,0.47,0.01
65,0.44,0.01
65,0.43,0.01
70.0kHz,,
70,0.83,0.03
70,0.95,0.03
70,0.81,0.04
70,0.82,0.03
70,0.89,0.03
70,0.84,0.01
70,0.91,0.03
70,0.92,0.03
70,0.86,0.07
70,0.8,0.03
70,0.83,0.03
70,0.81,0.03
70,0.87,0.03
70,0.94,0.03
70,0.89,0.03
70,0.92,0.03
70,0.88,0.04
70,0.81,0.03
70,1.07,0.03
70,0.8,0.05
70,0.83,0.03
70,0.9,0.03
70,0.71,0.01
70,0.93,0.03
70,0.91,0.03
70,0.85,0.01
70,0.79,0.03
70,0.82,0.03
70,0.81,0.03
70,0.87,0.03
70,0.87,0.03
70,0.89,0.03
70,0.93,0.03
70,0.87,0.04
70,0.78,0.03
70,0.84,0.03
70,0.81,0
70,0.85,0.03
70,0.9,0.03
70,0.66,0.04
70,0.92,0.03
70,0.9,0.03
70,0.82,0.02
70,0.93,0.03
70,0.81,0.03
70,0.82,0.03
70,0.88,0.03
70,0.87,0.02
70,0.91,0.03
70,0.93,0.03
75.0kHz,,
75,1.24,0.24
75,1.35,0.25
75,1.24,0.25
75,1.22,0.25
75,1.27,0.25
75,1.25,0.23
75,1.36,0.25
75,1.25,0.22
75,1.22,0.25
75,1.26,0.23
75,1.17,0.25
75,1.36,0.24
75,1.23,0.25
75,1.23,0.25
75,1.26,0.2
75,1.33,0.25
75,1.37,0.23
75,1.26,0.25
75,1.21,0.19
75,1.24,0.24
75,1.31,0.23
75,1.36,0.24
75,1.25,0.24
75,1.24,0.24
75,1.25,0.24
75,1.27,0.21
75,1.36,0.24
75,1.25,0.2
75,1.23,0.24
75,1.24,0.22
75,1.37,0.24
75,1.35,0.24
75,1.27,0.24
75,1.24,0.24
75,1.23,0.24
75,1.36,0.24
75,1.36,0.24
75,1.26,0.24
75,1.38,0.2
75,1.23,0.24
75,1.37,0.24
75,1.35,0.24
75,1.27,0.25
75,1.44,0.24
75,1.23,0.24
75,1.37,0.25
75,1.36,0.24
75,1.28,0.25
75,1.47,0.24
75,1.22,0.22
80.0kHz,,
80,1.67,0.37
80,1.61,0.37
80,1.52,0.37
80,1.31,0.35
80,1.6,0.37
80,1.51,0.33
80,1.62,0.37
80,1.69,0.34
80,1.48,0.37
80,1.51,0.37
80,1.66,0.37
80,1.64,0.37
80,1.78,0.37
80,1.57,0.37
80,1.68,0.37
80,1.57,0.37
80,1.49,0.43
80,1.64,0.37
80,1.68,0.39
80,1.69,0.38
80,1.53,0.37
80,1.52,0.38
80,1.6,0.37
80,1.5,0.38
80,1.62,0.37
80,1.68,0.35
80,1.48,0.37
80,1.51,0.38
80,1.54,0.37
80,1.64,0.37
80,1.74,0.38
80,1.59,0.37
80,1.67,0.37
80,1.55,0.37
80,1.5,0.34
80,1.71,0.37
80,1.67,0.33
80,1.71,0.37
80,1.53,0.37
80,1.71,0.37
80,1.59,0.37
80,1.51,0.37
80,1.65,0.37
80,1.68,0.37
80,1.55,0.38
80,1.52,0.41
80,1.46,0.37
80,1.63,0.43
80,1.6,0.37
80,1.59,0.37
85.0kHz,,
85,1.89,0.42
85,1.68,0.41
85,1.75,0.43
85,1.89,0.42
85,1.96,0.39
85,1.86,0.42
85,1.85,0.42
85,1.66,0.47
85,1.84,0.42
85,1.8,0.41
85,1.67,0.37
85,1.77,0.42
85,1.74,0.42
85,1.73,0.41
85,1.9,0.42
85,1.8,0.41
85,1.78,0.41
85,1.89,0.42
85,1.8,0.37
85,1.81,0.43
85,1.84,0.42
85,1.65,0.37
85,1.79,0.42
85,1.75,0.42
85,1.68,0.38
85,1.93,0.42
85,1.68,0.42
85,1.74,0.38
85,1.9,0.42
85,1.96,0.42
85,1.81,0.39
85,1.89,0.41
85,1.67,0.41
85,1.88,0.41
85,1.82,0.42
85,1.66,0.36
85,1.68,0.42
85,1.75,0.42
85,1.7,0.39
85,1.88,0.42
85,1.69,0.42
85,1.75,0.37
85,1.91,0.42
85,1.9,0.42
85,1.84,0.41
85,1.87,0.42
85,1.68,0.42
85,1.87,0.42
85,1.8,0.41
85,1.67,0.42
90.0kHz,,
90,1.73,0.45
90,1.9,0.44
90,1.76,0.45
90,1.71,0.45
90,1.89,0.45
90,1.62,0.46
90,1.91,0.45
90,1.92,0.45
90,1.75,0.42
90,1.7,0.44
90,1.8,0.45
90,1.82,0.45
90,1.67,0.53
90,1.92,0.46
90,1.63,0.45
90,1.79,0.45
90,1.64,0.42
90,1.91,0.44
90,1.75,0.45
90,1.73,0.45
90,1.88,0.45
90,1.62,0.45
90,1.93,0.45
90,1.86,0.45
90,1.77,0.43
90,1.71,0.45
90,1.82,0.45
90,1.81,0.45
90,1.67,0.44
90,1.91,0.45
90,1.61,0.45
90,1.97,0.38
90,1.77,0.46
90,1.87,0.45
90,1.75,0.45
90,1.75,0.45
90,1.86,0.43
90,1.64,0.45
90,1.93,0.45
90,1.68,0.44
90,1.82,0.46
90,1.63,0.45
90,1.83,0.45
90,1.8,0.41
90,1.68,0.43
90,1.91,0.45
90,1.62,0.45
90,1.91,0.52
90,1.9,0.46
90,1.81,0.45
95.0kHz,,
95,1.86,0.49
95,1.48,0.49
95,1.84,0.5
95,1.5,0.5
95,1.8,0.5
95,1.55,0.5
95,1.75,0.48
95,1.6,0.5
95,1.71,0.49
95,1.68,0.49
95,1.65,0.49
95,1.7,0.49
95,1.55,0.54
95,1.76,0.49
95,1.58,0.49
95,1.87,0.5
95,1.6,0.5
95,1.82,0.49
95,1.61,0.56
95,1.6,0.49
95,1.74,0.5
95,1.77,0.49
95,1.52,0.5
95,1.86,0.5
95,1.46,0.52
95,1.88,0.51
95,1.46,0.49
95,1.87,0.5
95,1.47,0.5
95,1.85,0.5
95,1.52,0.5
95,1.81,0.53
95,1.55,0.49
95,1.75,0.5
95,1.61,0.5
95,1.71,0.5
95,1.65,0.49
95,1.66,0.55
95,1.72,0.5
95,1.55,0.5
95,1.8,0.5
95,1.55,0.5
95,1.87,0.5
95,1.58,0.51
95,1.76,0.52
95,1.61,0.49
95,1.6,0.5
95,1.75,0.5
95,1.79,0.5
95,1.51,0.51
100.0kHz,,
100,1.85,0.56
100,1.52,0.56
100,1.94,0.55
100,1.39,0.55
100,1.66,0.55
100,1.81,0.55
100,1.6,0.55
100,1.94,0.55
100,1.38,0.55
100,1.69,0.55
100,1.8,0.54
100,1.46,0.53
100,1.93,0.55
100,1.38,0.58
100,1.7,0.59
100,1.74,0.56
100,1.56,0.53
100,1.94,0.55
100,1.36,0.55
100,1.73,0.55
100,1.79,0.55
100,1.42,0.54
100,2,0.54
100,1.36,0.54
100,1.74,0.55
100,1.72,0.55
100,1.51,0.54
100,1.96,0.57
100,1.35,0.53
100,1.76,0.53
100,1.74,0.58
100,1.42,0.57
100,1.99,0.56
100,1.34,0.54
100,1.77,0.54
100,1.7,0.55
100,1.46,0.56
100,1.86,0.55
100,1.35,0.55
100,1.8,0.55
100,1.73,0.55
100,1.42,0.55
100,1.78,0.56
100,1.35,0.56
100,1.82,0.62
100,1.68,0.58
100,1.45,0.55
100,1.75,0.56
100,1.36,0.57
100,1.84,0.56
stop,,
increase_frequency:5000,first_frequency:5,last_frequency:100
frequency,transmission_ep,receiving_ep
5kHz,,
5,0.12,0.76
5,0.12,0.76
5,0.11,0.76
5,0.11,0.76
5,0.11,0.76
5,0.12,0.76
5,0.11,0.76
5,0.11,0.76
5,0.12,0.76
5,0.11,0.76
5,0.11,0.76
5,0.11,0.75
5,0.11,0.75
5,0.11,0.75
5,0.12,0.75
5,0.12,0.75
5,0.12,0.75
5,0.12,0.75
5,0.12,0.75
5,0.12,0.75
5,0.12,0.75
5,0.11,0.75
5,0.11,0.74
5,0.11,0.74
5,0.11,0.74
5,0.12,0.74
5,0.12,0.74
5,0.12,0.74
5,0.12,0.74
5,0.12,0.74
5,0.12,0.74
5,0.12,0.74
5,0.12,0.74
5,0.12,0.73
5,0.12,0.74
5,0.12,0.73
5,0.12,0.73
5,0.12,0.73
5,0.12,0.73
5,0.12,0.73
5,0.12,0.73
5,0.12,0.73
5,0.11,0.73
5,0.12,0.73
5,0.12,0.73
5,0.12,0.73
5,0.11,0.72
5,0.12,0.72
5,0.11,0.72
5,0.12,0.72
10.0kHz,,
10,0.12,0.71
stop,,
increase_frequency:5000,first_frequency:5,last_frequency:100
frequency,transmission_ep,receiving_ep
5kHz,,
5,0.03,0
5,0.01,0
5,0,0
5,0,0
5,0.02,0
5,0.04,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0.01,0
5,0.04,0
5,0,0
5,0.01,0
5,0,0
5,0,0
5,0,0
5,0.03,0
5,0,0
5,0.01,0
5,0,0
5,0,0
5,0,0
5,0.03,0
5,0.02,0
5,0.01,0
5,0,0
5,0,0
5,0,0
5,0.02,0
5,0.03,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0.01,0
5,0.02,0
5,0.01,0
5,0.01,0
5,0,0
5,0,0
5,0.01,0
5,0.03,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0.02,0
5,0.01,0
10.0kHz,,
10,0.16,0
10,0.17,0
10,0.16,0
10,0.15,0
10,0.2,0
10,0.2,0
10,0.13,0
10,0.14,0
10,0.2,0
10,0.18,0
10,0.13,0
10,0.12,0
10,0.18,0
10,0.19,0
10,0.12,0
10,0.14,0
10,0.19,0
10,0.21,0
10,0.15,0
10,0.13,0
10,0.18,0
10,0.19,0
10,0.14,0
10,0.11,0
10,0.17,0
10,0.17,0
10,0.14,0
10,0.15,0
10,0.17,0
10,0.11,0
10,0.13,0
10,0.14,0
10,0.17,0
10,0.22,0
10,0.16,0
10,0.12,0
10,0.14,0
10,0.19,0
10,0.17,0
10,0.11,0
10,0.15,0
10,0.19,0
10,0.2,0
10,0.13,0
10,0.14,0
10,0.2,0
10,0.17,0
10,0.13,0
10,0.17,0
10,0.18,0
15.0kHz,,
15,0.14,0.01
15,0.24,0.02
15,0.31,0.01
15,0.16,0.01
15,0.13,0.01
15,0.16,0.01
15,0.1,0.01
15,0.15,0.01
15,0.19,0.01
15,0.16,0.01
15,0.17,0.01
15,0.2,0.01
15,0.16,0.01
15,0.1,0.01
15,0.23,0.01
15,0.11,0.01
15,0.16,0.01
15,0.23,0.01
15,0.19,0.01
15,0.29,0.01
15,0.25,0.01
15,0.23,0.01
15,0.23,0.01
15,0.22,0.01
15,0.22,0.01
15,0.2,0.02
15,0.26,0.01
15,0.25,0.01
15,0.22,0.01
15,0.22,0.01
15,0.21,0.01
15,0.16,0.01
15,0.21,0.01
15,0.24,0.01
15,0.18,0.01
15,0.21,0.01
15,0.15,0.01
15,0.2,0.01
15,0.22,0.01
15,0.28,0.01
15,0.2,0.01
15,0.21,0.01
15,0.29,0.02
15,0.2,0.02
15,0.16,0.01
15,0.27,0.01
15,0.22,0.01
15,0.21,0.01
15,0.3,0.02
15,0.2,0.02
20.0kHz,,
20,0.3,0.01
20,0.23,0.02
20,0.18,0.02
20,0.22,0.01
20,0.26,0.01
20,0.32,0.01
20,0.27,0.02
20,0.29,0.02
20,0.22,0.01
20,0.27,0.01
20,0.21,0.01
20,0.2,0.01
20,0.31,0.01
20,0.23,0.01
20,0.3,0.01
20,0.23,0.01
20,0.2,0.02
20,0.33,0.02
20,0.25,0.02
20,0.33,0.02
20,0.26,0.01
20,0.27,0.01
20,0.31,0.01
20,0.22,0.01
20,0.31,0.01
20,0.28,0.02
20,0.24,0.02
20,0.28,0.02
