increase_frequency:5000 first_frequency:5 last_frequency:100
frequency transmission_ep receiving_ep
5kHz
5 0.26 0.03 
5 0.15 0.01 
5 0.07 0.00 
5 0.02 0.00 
5 0.04 0.00 
5 0.01 0.00 
5 0.02 0.00 
5 0.02 0.00 
5 0.01 0.00 
5 0.00 0.00 
10.0kHz
10.0 0.16 0.00 
10.0 0.26 0.00 
10.0 0.22 0.00 
10.0 0.16 0.00 
10.0 0.16 0.00 
10.0 0.23 0.00 
10.0 0.23 0.00 
10.0 0.17 0.00 
10.0 0.19 0.00 
10.0 0.23 0.00 
15.0kHz
15.0 0.21 0.00 
15.0 0.10 0.00 
15.0 0.07 0.00 
15.0 0.17 0.00 
15.0 0.14 0.00 
15.0 0.10 0.00 
15.0 0.17 0.00 
15.0 0.11 0.00 
15.0 0.07 0.00 
15.0 0.17 0.00 
20.0kHz
20.0 0.20 0.00 
20.0 0.25 0.00 
20.0 0.26 0.00 
20.0 0.25 0.00 
20.0 0.31 0.00 
20.0 0.22 0.00 
20.0 0.23 0.00 
20.0 0.27 0.00 
20.0 0.25 0.00 
20.0 0.31 0.00 
25.0kHz
25.0 0.91 0.35 
25.0 0.92 0.37 
25.0 0.98 0.36 
25.0 0.92 0.36 
25.0 0.91 0.36 
25.0 0.92 0.36 
25.0 0.92 0.37 
25.0 1.00 0.37 
25.0 0.92 0.37 
25.0 0.92 0.35 
30.0kHz
30.0 0.46 0.17 
30.0 0.27 0.08 
30.0 0.27 0.03 
30.0 0.28 0.01 
30.0 0.23 0.00 
30.0 0.31 0.00 
30.0 0.22 0.00 
30.0 0.29 0.00 
30.0 0.25 0.00 
30.0 0.26 0.00 
35.0kHz
35.0 1.19 0.43 
35.0 1.41 0.44 
35.0 1.24 0.44 
35.0 1.14 0.44 
35.0 1.37 0.44 
35.0 1.22 0.44 
35.0 1.17 0.44 
35.0 1.39 0.44 
35.0 1.29 0.44 
35.0 1.13 0.44 
40.0kHz
40.0 0.96 0.39 
40.0 0.94 0.39 
40.0 0.96 0.39 
40.0 0.98 0.39 
40.0 1.03 0.41 
40.0 1.11 0.39 
40.0 1.10 0.39 
40.0 1.13 0.39 
40.0 1.12 0.40 
40.0 1.09 0.39 
45.0kHz
45.0 0.76 0.27 
45.0 0.72 0.26 
45.0 0.70 0.26 
45.0 0.74 0.28 
45.0 0.76 0.28 
45.0 0.76 0.27 
45.0 0.78 0.26 
45.0 0.71 0.27 
45.0 0.70 0.26 
45.0 0.83 0.27 
50.0kHz
50.0 0.48 0.14 
50.0 0.43 0.08 
50.0 0.40 0.06 
50.0 0.35 0.06 
50.0 0.39 0.06 
50.0 0.43 0.06 
50.0 0.43 0.06 
50.0 0.40 0.06 
50.0 0.40 0.06 
50.0 0.38 0.06 
55.0kHz
55.0 0.19 0.02 
55.0 0.05 0.00 
55.0 0.03 0.00 
55.0 0.02 0.00 
55.0 0.00 0.00 
55.0 0.02 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
60.0kHz
60.0 0.23 0.00 
60.0 0.21 0.00 
60.0 0.21 0.00 
60.0 0.19 0.00 
60.0 0.20 0.00 
60.0 0.20 0.00 
60.0 0.21 0.00 
60.0 0.22 0.00 
60.0 0.45 0.00 
60.0 0.21 0.01 
65.0kHz
65.0 0.50 0.00 
65.0 0.49 0.00 
65.0 0.48 0.00 
65.0 0.47 0.00 
65.0 0.45 0.00 
65.0 0.45 0.00 
65.0 0.46 0.00 
65.0 0.48 0.00 
65.0 0.51 0.00 
65.0 0.52 0.00 
70.0kHz
70.0 0.89 0.10 
70.0 1.01 0.12 
70.0 0.89 0.12 
70.0 0.93 0.06 
70.0 0.99 0.13 
70.0 0.79 0.12 
70.0 1.00 0.14 
70.0 0.98 0.13 
70.0 0.91 0.12 
70.0 1.09 0.12 
75.0kHz
75.0 1.38 0.39 
75.0 1.46 0.46 
75.0 1.38 0.41 
75.0 1.36 0.46 
75.0 1.35 0.48 
75.0 1.37 0.46 
75.0 1.47 0.43 
75.0 1.37 0.46 
75.0 1.36 0.46 
75.0 1.36 0.46 
80.0kHz
80.0 1.85 0.65 
80.0 1.86 0.66 
80.0 1.70 0.65 
80.0 1.64 0.66 
80.0 1.78 0.66 
80.0 1.71 0.66 
80.0 1.81 0.67 
80.0 1.85 0.66 
80.0 1.76 0.69 
80.0 1.72 0.65 
85.0kHz
85.0 2.09 0.69 
85.0 2.03 0.69 
85.0 2.09 0.68 
85.0 2.05 0.68 
85.0 1.90 0.68 
85.0 2.02 0.69 
85.0 1.98 0.69 
85.0 1.92 0.69 
85.0 2.09 0.74 
85.0 1.99 0.68 
90.0kHz
90.0 2.13 0.68 
90.0 2.29 0.71 
90.0 2.26 0.71 
90.0 2.32 0.72 
90.0 2.29 0.78 
90.0 2.21 0.71 
90.0 2.38 0.72 
90.0 2.14 0.72 
90.0 2.39 0.69 
90.0 2.41 0.71 
95.0kHz
95.0 2.24 0.74 
95.0 2.14 0.75 
95.0 2.26 0.75 
95.0 2.15 0.73 
95.0 2.32 0.73 
95.0 2.28 0.76 
95.0 2.24 0.75 
95.0 2.30 0.75 
95.0 2.21 0.75 
95.0 2.00 0.75 
100.0kHz
100.0 2.10 0.76 
100.0 2.35 0.76 
100.0 1.97 0.76 
100.0 2.05 0.75 
100.0 2.25 0.75 
100.0 2.04 0.76 
100.0 2.36 0.76 
100.0 1.98 0.76 
100.0 2.06 0.76 
100.0 2.28 0.76 
stop
increase_frequency:1000 first_frequency:5 last_frequency:100
frequency transmission_ep receiving_ep
5kHz
5 0.01 0.00 
5 0.02 0.00 
5 0.04 0.00 
5 0.04 0.00 
5 0.02 0.00 
5 0.00 0.00 
5 0.04 0.00 
5 0.02 0.00 
5 0.05 0.00 
5 0.04 0.00 
6.0kHz
6.0 0.01 0.00 
6.0 0.05 0.00 
6.0 0.04 0.00 
6.0 0.02 0.00 
6.0 0.02 0.00 
6.0 0.07 0.00 
6.0 0.05 0.00 
6.0 0.05 0.00 
6.0 0.04 0.00 
6.0 0.03 0.00 
7.0kHz
7.0 0.02 0.00 
7.0 0.02 0.00 
7.0 0.03 0.00 
7.0 0.00 0.00 
7.0 0.02 0.00 
7.0 0.03 0.00 
7.0 0.00 0.00 
7.0 0.00 0.00 
7.0 0.03 0.00 
7.0 0.00 0.00 
8.0kHz
8.0 0.11 0.00 
8.0 0.09 0.00 
8.0 0.10 0.00 
8.0 0.06 0.00 
8.0 0.08 0.00 
8.0 0.04 0.00 
8.0 0.06 0.00 
8.0 0.12 0.00 
8.0 0.09 0.00 
8.0 0.09 0.00 
9.0kHz
9.0 0.08 0.00 
9.0 0.08 0.00 
9.0 0.07 0.00 
9.0 0.10 0.00 
9.0 0.07 0.00 
9.0 0.09 0.00 
9.0 0.11 0.00 
9.0 0.10 0.00 
9.0 0.10 0.00 
9.0 0.08 0.00 
10.0kHz
10.0 0.35 0.04 
10.0 0.44 0.06 
10.0 0.43 0.07 
10.0 0.40 0.06 
10.0 0.45 0.07 
10.0 0.44 0.08 
10.0 0.45 0.08 
10.0 0.40 0.08 
10.0 0.43 0.08 
10.0 0.49 0.08 
11.0kHz
11.0 0.17 0.03 
11.0 0.07 0.01 
11.0 0.04 0.00 
11.0 0.00 0.00 
11.0 0.00 0.00 
11.0 0.00 0.00 
11.0 0.00 0.00 
11.0 0.00 0.00 
11.0 0.00 0.00 
11.0 0.00 0.00 
12.0kHz
12.0 0.49 0.10 
12.0 0.66 0.16 
12.0 0.68 0.13 
12.0 0.62 0.14 
12.0 0.54 0.13 
12.0 0.62 0.13 
12.0 0.65 0.14 
12.0 0.54 0.12 
12.0 0.54 0.12 
12.0 0.57 0.11 
13.0kHz
13.0 0.42 0.09 
13.0 0.40 0.09 
13.0 0.42 0.09 
13.0 0.35 0.09 
13.0 0.39 0.09 
13.0 0.37 0.09 
13.0 0.39 0.09 
13.0 0.41 0.09 
13.0 0.41 0.08 
13.0 0.39 0.09 
14.0kHz
14.0 0.10 0.03 
14.0 0.00 0.01 
14.0 0.00 0.00 
14.0 0.00 0.00 
14.0 0.00 0.00 
14.0 0.00 0.00 
14.0 0.00 0.00 
14.0 0.00 0.00 
14.0 0.00 0.00 
14.0 0.00 0.00 
15.0kHz
15.0 0.61 0.10 
15.0 0.60 0.13 
15.0 0.67 0.14 
15.0 0.63 0.14 
15.0 0.62 0.15 
15.0 0.68 0.15 
15.0 0.71 0.15 
15.0 0.66 0.16 
15.0 0.66 0.13 
15.0 0.65 0.14 
16.0kHz
16.0 1.16 0.35 
16.0 1.18 0.35 
16.0 1.27 0.42 
16.0 1.19 0.40 
16.0 1.20 0.38 
16.0 1.32 0.42 
16.0 1.17 0.37 
16.0 1.22 0.39 
16.0 1.00 0.32 
16.0 1.06 0.30 
17.0kHz
17.0 0.82 0.27 
17.0 0.84 0.28 
17.0 0.78 0.28 
17.0 0.86 0.28 
17.0 0.84 0.27 
17.0 0.84 0.28 
17.0 0.81 0.28 
17.0 0.76 0.27 
17.0 0.78 0.27 
17.0 0.79 0.27 
18.0kHz
18.0 0.41 0.13 
18.0 0.21 0.05 
18.0 0.13 0.03 
18.0 0.08 0.00 
18.0 0.07 0.00 
18.0 0.07 0.00 
18.0 0.04 0.00 
18.0 0.06 0.00 
18.0 0.03 0.00 
18.0 0.07 0.00 
19.0kHz
19.0 0.11 0.00 
19.0 0.08 0.00 
19.0 0.11 0.00 
19.0 0.10 0.01 
19.0 0.07 0.00 
19.0 0.08 0.00 
19.0 0.09 0.01 
19.0 0.11 0.00 
19.0 0.14 0.00 
19.0 0.12 0.00 
20.0kHz
20.0 0.53 0.10 
20.0 0.47 0.12 
20.0 0.53 0.12 
20.0 0.52 0.13 
20.0 0.55 0.13 
20.0 0.53 0.13 
20.0 0.50 0.13 
20.0 0.54 0.13 
20.0 0.44 0.12 
20.0 0.48 0.12 
21.0kHz
21.0 1.05 0.28 
21.0 1.09 0.30 
21.0 1.03 0.29 
21.0 1.14 0.31 
21.0 1.16 0.30 
21.0 1.23 0.31 
21.0 1.16 0.30 
21.0 1.22 0.31 
21.0 1.21 0.32 
21.0 1.17 0.30 
22.0kHz
22.0 0.99 0.26 
22.0 0.97 0.27 
22.0 1.04 0.26 
22.0 1.03 0.26 
22.0 1.07 0.27 
22.0 1.03 0.26 
22.0 1.06 0.27 
22.0 1.04 0.28 
22.0 0.98 0.27 
22.0 1.01 0.27 
23.0kHz
23.0 1.60 0.70 
23.0 1.70 0.71 
23.0 1.65 0.70 
23.0 1.61 0.70 
23.0 1.52 0.70 
23.0 1.56 0.70 
23.0 1.64 0.70 
23.0 1.67 0.70 
23.0 1.64 0.70 
23.0 1.58 0.70 
24.0kHz
24.0 1.24 0.58 
24.0 1.23 0.57 
24.0 1.23 0.58 
24.0 1.24 0.58 
24.0 1.17 0.57 
24.0 1.20 0.57 
24.0 1.17 0.58 
24.0 1.16 0.58 
24.0 1.14 0.58 
24.0 1.17 0.57 
25.0kHz
25.0 1.25 0.53 
25.0 1.22 0.53 
25.0 1.23 0.53 
25.0 1.24 0.53 
25.0 1.25 0.53 
25.0 1.28 0.53 
25.0 1.22 0.51 
25.0 1.23 0.53 
25.0 1.25 0.51 
25.0 1.25 0.53 
26.0kHz
26.0 0.57 0.25 
26.0 0.30 0.11 
26.0 0.22 0.06 
26.0 0.23 0.04 
26.0 0.20 0.03 
26.0 0.23 0.02 
26.0 0.21 0.02 
26.0 0.21 0.01 
26.0 0.19 0.02 
26.0 0.22 0.03 
27.0kHz
27.0 0.00 0.00 
27.0 0.00 0.00 
27.0 0.00 0.00 
27.0 0.00 0.00 
27.0 0.00 0.00 
27.0 0.00 0.00 
27.0 0.00 0.00 
27.0 0.00 0.00 
27.0 0.00 0.00 
27.0 0.00 0.00 
28.0kHz
28.0 0.00 0.00 
28.0 0.00 0.00 
28.0 0.00 0.00 
28.0 0.00 0.00 
28.0 0.00 0.00 
28.0 0.00 0.00 
28.0 0.00 0.00 
28.0 0.00 0.00 
28.0 0.00 0.00 
28.0 0.00 0.00 
29.0kHz
29.0 0.19 0.00 
29.0 0.24 0.01 
29.0 0.25 0.02 
29.0 0.35 0.02 
29.0 0.22 0.02 
29.0 0.26 0.02 
29.0 0.29 0.02 
29.0 0.23 0.01 
29.0 0.22 0.02 
29.0 0.24 0.02 
30.0kHz
30.0 0.82 0.28 
30.0 0.88 0.30 
30.0 0.93 0.31 
30.0 0.86 0.30 
30.0 0.87 0.29 
30.0 0.87 0.30 
30.0 0.93 0.30 
30.0 0.88 0.30 
30.0 0.94 0.30 
30.0 0.92 0.30 
31.0kHz
31.0 1.07 0.28 
31.0 1.02 0.29 
31.0 1.03 0.29 
31.0 1.05 0.29 
31.0 1.07 0.29 
31.0 1.05 0.28 
31.0 1.09 0.27 
31.0 1.05 0.27 
31.0 1.07 0.28 
31.0 1.03 0.28 
32.0kHz
32.0 1.16 0.15 
32.0 1.11 0.10 
32.0 1.16 0.09 
32.0 1.07 0.11 
32.0 1.05 0.07 
32.0 1.13 0.09 
32.0 1.12 0.09 
32.0 1.06 0.08 
32.0 1.08 0.08 
32.0 1.09 0.12 
33.0kHz
33.0 1.49 0.59 
33.0 1.38 0.60 
33.0 1.47 0.60 
33.0 1.48 0.63 
33.0 1.42 0.60 
33.0 1.54 0.60 
33.0 1.40 0.61 
33.0 1.48 0.60 
33.0 1.46 0.60 
33.0 1.50 0.59 
34.0kHz
34.0 1.57 0.50 
34.0 1.38 0.49 
34.0 1.61 0.52 
34.0 1.54 0.49 
34.0 1.51 0.49 
34.0 1.59 0.47 
34.0 1.48 0.50 
34.0 1.53 0.49 
34.0 1.52 0.48 
34.0 1.45 0.49 
35.0kHz
35.0 1.49 0.44 
35.0 1.52 0.44 
35.0 1.49 0.47 
35.0 1.43 0.45 
35.0 1.34 0.40 
35.0 1.45 0.45 
35.0 1.48 0.46 
35.0 1.37 0.42 
35.0 1.45 0.43 
35.0 1.36 0.44 
36.0kHz
36.0 1.46 0.47 
36.0 1.42 0.46 
36.0 1.48 0.47 
36.0 1.41 0.47 
36.0 1.50 0.46 
36.0 1.47 0.47 
36.0 1.51 0.47 
36.0 1.43 0.47 
36.0 1.43 0.47 
36.0 1.57 0.47 
37.0kHz
37.0 2.09 0.70 
37.0 2.02 0.70 
37.0 2.08 0.70 
37.0 2.25 0.73 
37.0 2.07 0.70 
37.0 2.01 0.70 
37.0 2.10 0.69 
37.0 2.14 0.69 
37.0 2.26 0.69 
37.0 2.15 0.69 
38.0kHz
38.0 1.90 0.70 
38.0 1.71 0.69 
38.0 1.84 0.70 
38.0 1.71 0.70 
38.0 1.68 0.70 
38.0 1.80 0.71 
38.0 1.90 0.70 
38.0 1.82 0.70 
38.0 1.78 0.70 
38.0 1.75 0.72 
39.0kHz
39.0 1.70 0.58 
39.0 1.59 0.64 
39.0 1.57 0.57 
39.0 1.63 0.58 
39.0 1.61 0.58 
39.0 1.71 0.59 
39.0 1.68 0.58 
39.0 1.63 0.58 
39.0 1.58 0.58 
39.0 1.59 0.58 
40.0kHz
40.0 1.57 0.55 
40.0 1.62 0.55 
40.0 1.60 0.55 
40.0 1.42 0.55 
40.0 1.58 0.55 
40.0 1.55 0.55 
40.0 1.56 0.53 
40.0 1.54 0.55 
40.0 1.61 0.55 
40.0 1.51 0.55 
41.0kHz
41.0 1.33 0.47 
41.0 1.36 0.46 
41.0 1.30 0.46 
41.0 1.40 0.46 
41.0 1.37 0.45 
41.0 1.36 0.43 
41.0 1.37 0.46 
41.0 1.39 0.46 
41.0 1.25 0.45 
41.0 1.31 0.45 
42.0kHz
42.0 1.19 0.38 
42.0 1.17 0.37 
42.0 1.29 0.38 
42.0 1.19 0.38 
42.0 1.18 0.37 
42.0 1.14 0.36 
42.0 1.07 0.38 
42.0 1.18 0.38 
42.0 1.12 0.38 
42.0 1.14 0.40 
43.0kHz
43.0 1.07 0.33 
43.0 1.11 0.32 
43.0 1.02 0.33 
43.0 1.09 0.34 
43.0 1.03 0.33 
43.0 1.01 0.32 
43.0 1.04 0.32 
43.0 1.00 0.32 
43.0 1.07 0.33 
43.0 1.07 0.33 
44.0kHz
44.0 1.06 0.34 
44.0 1.04 0.34 
44.0 1.15 0.33 
44.0 0.99 0.34 
44.0 1.08 0.31 
44.0 1.08 0.34 
44.0 1.09 0.34 
44.0 1.12 0.34 
44.0 1.09 0.34 
44.0 1.14 0.35 
45.0kHz
45.0 1.09 0.37 
45.0 1.24 0.36 
45.0 1.09 0.36 
45.0 1.17 0.36 
45.0 1.09 0.36 
45.0 1.07 0.38 
45.0 1.12 0.37 
45.0 1.09 0.36 
45.0 1.10 0.38 
45.0 1.13 0.37 
46.0kHz
46.0 1.11 0.39 
46.0 1.22 0.38 
46.0 1.14 0.38 
46.0 1.17 0.39 
46.0 1.34 0.39 
46.0 1.15 0.39 
46.0 1.11 0.38 
46.0 1.13 0.38 
46.0 1.09 0.40 
46.0 1.12 0.38 
47.0kHz
47.0 1.03 0.28 
47.0 1.02 0.28 
47.0 1.08 0.29 
47.0 1.05 0.30 
47.0 1.03 0.29 
47.0 1.01 0.27 
47.0 0.98 0.28 
47.0 0.99 0.29 
47.0 1.02 0.28 
47.0 0.96 0.27 
48.0kHz
48.0 0.64 0.17 
48.0 0.66 0.13 
48.0 0.64 0.12 
48.0 0.70 0.11 
48.0 0.69 0.11 
48.0 0.43 0.11 
48.0 0.65 0.12 
48.0 0.63 0.11 
48.0 0.52 0.11 
48.0 0.68 0.11 
49.0kHz
49.0 0.49 0.07 
49.0 0.45 0.06 
49.0 0.43 0.04 
49.0 0.43 0.04 
49.0 0.44 0.05 
49.0 0.45 0.04 
49.0 0.46 0.05 
49.0 0.44 0.05 
49.0 0.56 0.08 
49.0 0.55 0.08 
50.0kHz
50.0 0.40 0.05 
50.0 0.41 0.05 
50.0 0.35 0.05 
50.0 0.41 0.05 
50.0 0.39 0.05 
50.0 0.38 0.05 
50.0 0.45 0.04 
50.0 0.36 0.05 
50.0 0.41 0.05 
50.0 0.40 0.05 
51.0kHz
51.0 0.27 0.01 
51.0 0.19 0.00 
51.0 0.23 0.00 
51.0 0.22 0.00 
51.0 0.23 0.00 
51.0 0.19 0.00 
51.0 0.20 0.00 
51.0 0.20 0.00 
51.0 0.21 0.00 
51.0 0.23 0.00 
52.0kHz
52.0 0.00 0.00 
52.0 0.01 0.00 
52.0 0.00 0.00 
52.0 0.01 0.00 
52.0 0.00 0.00 
52.0 0.00 0.00 
52.0 0.00 0.00 
52.0 0.01 0.00 
52.0 0.00 0.00 
52.0 0.01 0.00 
53.0kHz
53.0 0.01 0.00 
53.0 0.00 0.00 
53.0 0.00 0.00 
53.0 0.00 0.00 
53.0 0.00 0.00 
53.0 0.00 0.00 
53.0 0.00 0.00 
53.0 0.00 0.00 
53.0 0.00 0.00 
53.0 0.00 0.00 
54.0kHz
54.0 0.00 0.00 
54.0 0.00 0.00 
54.0 0.00 0.00 
54.0 0.00 0.00 
54.0 0.00 0.00 
54.0 0.00 0.00 
54.0 0.00 0.00 
54.0 0.00 0.00 
54.0 0.00 0.00 
54.0 0.00 0.00 
55.0kHz
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.01 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
56.0kHz
56.0 0.08 0.00 
56.0 0.05 0.00 
56.0 0.11 0.00 
56.0 0.08 0.00 
56.0 0.05 0.00 
56.0 0.05 0.00 
56.0 0.13 0.00 
56.0 0.04 0.00 
56.0 0.10 0.00 
56.0 0.11 0.00 
57.0kHz
57.0 0.23 0.01 
57.0 0.14 0.01 
57.0 0.24 0.01 
57.0 0.16 0.03 
57.0 0.17 0.02 
57.0 0.13 0.01 
57.0 0.18 0.02 
57.0 0.22 0.02 
57.0 0.24 0.02 
57.0 0.22 0.05 
58.0kHz
58.0 0.36 0.08 
58.0 0.34 0.09 
58.0 0.37 0.10 
58.0 0.39 0.10 
58.0 0.35 0.09 
58.0 0.39 0.10 
58.0 0.35 0.09 
58.0 0.33 0.09 
58.0 0.34 0.09 
58.0 0.34 0.10 
59.0kHz
59.0 0.55 0.19 
59.0 0.56 0.20 
59.0 0.62 0.19 
59.0 0.57 0.21 
59.0 0.56 0.20 
59.0 0.53 0.19 
59.0 0.53 0.19 
59.0 0.53 0.19 
59.0 0.57 0.19 
59.0 0.61 0.18 
60.0kHz
60.0 0.57 0.17 
60.0 0.57 0.16 
60.0 0.55 0.15 
60.0 0.51 0.15 
60.0 0.56 0.17 
60.0 0.52 0.15 
60.0 0.44 0.15 
60.0 0.53 0.15 
60.0 0.67 0.15 
60.0 0.46 0.14 
61.0kHz
61.0 0.49 0.08 
61.0 0.50 0.07 
61.0 0.52 0.06 
61.0 0.53 0.06 
61.0 0.53 0.07 
61.0 0.53 0.07 
61.0 0.56 0.08 
61.0 0.53 0.07 
61.0 0.52 0.07 
61.0 0.50 0.07 
62.0kHz
62.0 0.77 0.17 
62.0 0.72 0.20 
62.0 0.74 0.20 
62.0 0.76 0.21 
62.0 0.69 0.20 
62.0 0.74 0.21 
62.0 0.69 0.20 
62.0 0.71 0.20 
62.0 0.68 0.19 
62.0 0.75 0.18 
63.0kHz
63.0 0.93 0.31 
63.0 0.95 0.33 
63.0 0.95 0.33 
63.0 0.84 0.32 
63.0 0.81 0.35 
63.0 1.03 0.32 
63.0 1.06 0.32 
63.0 1.05 0.30 
63.0 0.97 0.34 
63.0 0.96 0.32 
64.0kHz
64.0 0.83 0.27 
64.0 0.82 0.26 
64.0 0.92 0.27 
64.0 0.85 0.27 
64.0 0.87 0.27 
64.0 0.71 0.27 
64.0 0.97 0.27 
64.0 0.74 0.26 
64.0 0.91 0.27 
64.0 0.89 0.26 
65.0kHz
65.0 0.90 0.22 
65.0 1.10 0.22 
65.0 1.12 0.22 
65.0 1.11 0.22 
65.0 1.18 0.22 
65.0 1.11 0.22 
65.0 1.15 0.22 
65.0 1.14 0.22 
65.0 1.12 0.22 
65.0 1.08 0.22 
66.0kHz
66.0 1.28 0.31 
66.0 1.32 0.31 
66.0 1.34 0.31 
66.0 1.32 0.30 
66.0 1.32 0.34 
66.0 1.27 0.31 
66.0 1.28 0.32 
66.0 1.33 0.32 
66.0 1.28 0.30 
66.0 1.28 0.31 
67.0kHz
67.0 1.29 0.33 
67.0 1.28 0.33 
67.0 1.30 0.33 
67.0 1.24 0.33 
67.0 1.25 0.33 
67.0 1.23 0.33 
67.0 1.13 0.32 
67.0 1.21 0.33 
67.0 1.28 0.33 
67.0 1.30 0.33 
68.0kHz
68.0 1.30 0.35 
68.0 1.18 0.35 
68.0 1.31 0.35 
68.0 1.33 0.35 
68.0 1.33 0.35 
68.0 1.30 0.35 
68.0 1.26 0.35 
68.0 1.16 0.35 
68.0 1.26 0.34 
68.0 1.28 0.35 
69.0kHz
69.0 1.38 0.37 
69.0 1.44 0.38 
69.0 1.42 0.38 
69.0 1.38 0.38 
69.0 1.35 0.39 
69.0 1.39 0.38 
69.0 1.36 0.39 
69.0 1.49 0.38 
69.0 1.31 0.38 
69.0 1.35 0.38 
70.0kHz
70.0 1.32 0.37 
70.0 1.31 0.34 
70.0 1.30 0.33 
70.0 1.30 0.31 
70.0 1.47 0.41 
70.0 1.34 0.36 
70.0 1.46 0.36 
