increase_frequency:10000 first_frequency:5 last_frequency:100
frequency transmission_ep receiving_ep
5kHz
5 0.26 0.05 
5 0.15 0.01 
5 0.08 0.00 
5 0.08 0.00 
5 0.05 0.00 
15.0kHz
15.0 0.22 0.00 
15.0 0.13 0.00 
15.0 0.11 0.00 
15.0 0.21 0.00 
15.0 0.17 0.00 
25.0kHz
25.0 0.97 0.41 
25.0 0.98 0.43 
25.0 1.02 0.42 
25.0 1.01 0.39 
25.0 1.00 0.42 
35.0kHz
35.0 1.38 0.57 
35.0 1.45 0.56 
35.0 1.64 0.57 
35.0 1.43 0.57 
35.0 1.32 0.56 
45.0kHz
45.0 0.95 0.42 
45.0 0.95 0.41 
45.0 0.95 0.41 
45.0 0.88 0.41 
45.0 0.87 0.41 
55.0kHz
55.0 0.59 0.20 
55.0 0.24 0.09 
55.0 0.18 0.03 
55.0 0.12 0.01 
55.0 0.06 0.00 
65.0kHz
65.0 0.61 0.00 
65.0 0.52 0.02 
65.0 0.49 0.00 
65.0 0.48 0.00 
65.0 0.48 0.00 
75.0kHz
75.0 1.49 0.52 
75.0 1.52 0.54 
75.0 1.51 0.53 
75.0 1.60 0.52 
75.0 1.41 0.53 
85.0kHz
85.0 2.23 0.78 
85.0 2.23 0.81 
85.0 2.16 0.82 
85.0 2.19 0.81 
85.0 2.03 0.82 
95.0kHz
95.0 2.25 0.89 
95.0 2.61 0.92 
95.0 2.27 0.89 
95.0 2.61 0.89 
95.0 2.29 0.89 
100kHz
100 2.24 0.90 
100 2.43 0.90 
100 2.11 0.92 
100 2.57 0.95 
100 2.32 0.92 
stop
increase_frequency:10000 first_frequency:5 last_frequency:100
frequency transmission_ep receiving_ep
5kHz
5 0.02 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.03 0.00 
5 0.04 0.00 
5 0.01 0.00 
5 0.01 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.02 0.00 
5 0.05 0.00 
5 0.02 0.00 
5 0.03 0.00 
5 0.01 0.00 
5 0.01 0.00 
5 0.01 0.00 
5 0.03 0.00 
5 0.03 0.00 
5 0.02 0.00 
5 0.01 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.03 0.00 
5 0.04 0.00 
5 0.03 0.00 
5 0.02 0.00 
5 0.00 0.00 
5 0.01 0.00 
5 0.02 0.00 
5 0.04 0.00 
5 0.01 0.00 
5 0.01 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.01 0.00 
5 0.04 0.00 
5 0.04 0.00 
5 0.02 0.00 
5 0.02 0.00 
5 0.00 0.00 
5 0.01 0.00 
5 0.04 0.00 
5 0.05 0.00 
5 0.02 0.00 
5 0.02 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.02 0.00 
5 0.05 0.00 
5 0.02 0.00 
15.0kHz
15.0 0.34 0.00 
15.0 0.19 0.00 
15.0 0.24 0.00 
15.0 0.11 0.00 
15.0 0.16 0.00 
15.0 0.20 0.00 
15.0 0.13 0.00 
15.0 0.19 0.00 
15.0 0.24 0.00 
15.0 0.13 0.00 
15.0 0.13 0.00 
15.0 0.22 0.00 
15.0 0.16 0.00 
15.0 0.16 0.00 
15.0 0.23 0.00 
15.0 0.14 0.00 
15.0 0.13 0.00 
15.0 0.21 0.00 
15.0 0.19 0.00 
15.0 0.14 0.00 
15.0 0.21 0.00 
15.0 0.17 0.00 
15.0 0.11 0.00 
15.0 0.21 0.00 
15.0 0.21 0.00 
15.0 0.14 0.00 
15.0 0.18 0.00 
15.0 0.24 0.00 
15.0 0.13 0.00 
15.0 0.13 0.00 
15.0 0.22 0.00 
15.0 0.17 0.00 
15.0 0.17 0.00 
15.0 0.22 0.00 
15.0 0.14 0.00 
15.0 0.11 0.00 
15.0 0.21 0.00 
15.0 0.19 0.00 
15.0 0.14 0.00 
15.0 0.21 0.00 
15.0 0.16 0.00 
15.0 0.11 0.00 
15.0 0.21 0.00 
15.0 0.21 0.00 
15.0 0.13 0.00 
15.0 0.18 0.00 
15.0 0.18 0.00 
15.0 0.13 0.00 
15.0 0.19 0.00 
15.0 0.22 0.00 
25.0kHz
25.0 1.05 0.42 
25.0 1.01 0.43 
25.0 1.07 0.43 
25.0 1.06 0.43 
25.0 1.06 0.43 
25.0 1.05 0.43 
25.0 0.98 0.43 
25.0 1.06 0.43 
25.0 1.06 0.43 
25.0 1.07 0.43 
25.0 1.06 0.43 
25.0 0.96 0.43 
25.0 1.05 0.43 
25.0 1.07 0.43 
25.0 1.06 0.43 
25.0 1.06 0.43 
25.0 0.96 0.43 
25.0 1.07 0.43 
25.0 1.07 0.43 
25.0 1.06 0.43 
25.0 1.05 0.43 
25.0 1.07 0.43 
25.0 1.07 0.43 
25.0 1.07 0.43 
25.0 1.06 0.47 
25.0 1.05 0.43 
25.0 1.05 0.44 
25.0 1.07 0.43 
25.0 1.06 0.43 
25.0 1.06 0.43 
25.0 1.04 0.43 
25.0 0.96 0.43 
25.0 1.06 0.43 
25.0 1.06 0.43 
25.0 1.05 0.43 
25.0 1.04 0.43 
25.0 0.95 0.43 
25.0 1.06 0.43 
25.0 1.06 0.43 
25.0 1.05 0.43 
25.0 1.04 0.43 
25.0 1.06 0.43 
25.0 1.07 0.43 
25.0 1.07 0.43 
25.0 1.06 0.43 
25.0 1.05 0.43 
25.0 1.14 0.43 
25.0 1.06 0.43 
25.0 1.06 0.43 
25.0 1.06 0.43 
35.0kHz
35.0 1.57 0.57 
35.0 1.62 0.57 
35.0 1.38 0.57 
35.0 1.50 0.57 
35.0 1.56 0.57 
35.0 1.40 0.57 
35.0 1.52 0.56 
35.0 1.63 0.57 
35.0 1.43 0.57 
35.0 1.45 0.60 
35.0 1.66 0.57 
35.0 1.49 0.57 
35.0 1.47 0.59 
35.0 1.64 0.57 
35.0 1.49 0.57 
35.0 1.41 0.55 
35.0 1.61 0.57 
35.0 1.55 0.57 
35.0 1.37 0.57 
35.0 1.57 0.57 
35.0 1.64 0.57 
35.0 1.39 0.57 
35.0 1.58 0.58 
35.0 1.60 0.58 
35.0 1.38 0.58 
35.0 1.51 0.58 
35.0 1.64 0.58 
35.0 1.42 0.58 
35.0 1.45 0.58 
35.0 1.41 0.58 
35.0 1.42 0.58 
35.0 1.45 0.57 
35.0 1.64 0.57 
35.0 1.48 0.58 
35.0 1.40 0.56 
35.0 1.63 0.58 
35.0 1.55 0.58 
35.0 1.60 0.60 
35.0 1.63 0.58 
35.0 1.53 0.57 
35.0 1.39 0.61 
35.0 1.59 0.57 
35.0 1.61 0.57 
35.0 1.38 0.56 
35.0 1.53 0.57 
35.0 1.63 0.57 
35.0 1.41 0.57 
35.0 1.53 0.57 
35.0 1.65 0.57 
35.0 1.44 0.57 
45.0kHz
45.0 0.92 0.41 
45.0 0.92 0.40 
45.0 0.93 0.40 
45.0 0.92 0.40 
45.0 0.86 0.40 
45.0 0.85 0.39 
45.0 0.92 0.39 
45.0 0.91 0.40 
45.0 0.90 0.40 
45.0 0.90 0.40 
45.0 0.91 0.40 
45.0 0.86 0.40 
45.0 0.87 0.38 
45.0 0.94 0.40 
45.0 0.94 0.40 
45.0 0.89 0.40 
45.0 0.87 0.40 
45.0 0.89 0.40 
45.0 0.87 0.40 
45.0 0.92 0.40 
45.0 0.94 0.40 
45.0 0.93 0.41 
45.0 0.87 0.40 
45.0 0.85 0.40 
45.0 0.91 0.40 
45.0 0.90 0.40 
45.0 0.96 0.40 
45.0 0.91 0.40 
45.0 0.92 0.34 
45.0 0.86 0.39 
45.0 0.87 0.40 
45.0 0.93 0.40 
45.0 0.93 0.40 
45.0 1.06 0.40 
45.0 0.88 0.40 
45.0 0.92 0.40 
45.0 0.87 0.42 
45.0 0.89 0.41 
45.0 0.94 0.40 
45.0 0.94 0.40 
45.0 0.88 0.40 
45.0 0.87 0.40 
45.0 0.73 0.40 
45.0 0.89 0.41 
45.0 0.92 0.39 
45.0 0.92 0.40 
45.0 0.92 0.40 
45.0 0.85 0.39 
45.0 0.86 0.40 
45.0 0.92 0.40 
55.0kHz
55.0 0.48 0.19 
55.0 0.23 0.08 
55.0 0.17 0.03 
55.0 0.11 0.01 
55.0 0.06 0.00 
55.0 0.09 0.00 
55.0 0.05 0.00 
55.0 0.02 0.00 
55.0 0.05 0.00 
55.0 0.02 0.00 
55.0 0.05 0.00 
55.0 0.09 0.00 
55.0 0.05 0.00 
55.0 0.07 0.00 
55.0 0.06 0.00 
55.0 0.03 0.00 
55.0 0.04 0.00 
55.0 0.16 0.00 
55.0 0.03 0.00 
55.0 0.07 0.00 
55.0 0.07 0.00 
55.0 0.04 0.00 
55.0 0.07 0.00 
55.0 0.04 0.00 
55.0 0.03 0.00 
55.0 0.07 0.00 
55.0 0.02 0.00 
55.0 0.06 0.00 
55.0 0.08 0.00 
55.0 0.05 0.00 
55.0 0.08 0.00 
55.0 0.05 0.00 
55.0 0.02 0.00 
55.0 0.05 0.00 
55.0 0.01 0.00 
55.0 0.04 0.00 
55.0 0.08 0.00 
55.0 0.07 0.00 
55.0 0.00 0.00 
55.0 0.07 0.00 
55.0 0.04 0.00 
55.0 0.03 0.00 
55.0 0.08 0.00 
55.0 0.02 0.00 
55.0 0.07 0.00 
55.0 0.08 0.00 
55.0 0.04 0.00 
55.0 0.08 0.00 
55.0 0.04 0.00 
55.0 0.03 0.00 
65.0kHz
65.0 0.52 0.02 
65.0 0.52 0.00 
65.0 0.49 0.00 
65.0 0.49 0.00 
65.0 0.51 0.00 
65.0 0.54 0.00 
65.0 0.52 0.00 
65.0 0.50 0.00 
65.0 0.49 0.00 
65.0 0.47 0.00 
65.0 0.49 0.00 
65.0 0.50 0.00 
65.0 0.51 0.00 
65.0 0.54 0.00 
65.0 0.55 0.00 
65.0 0.59 0.01 
65.0 0.58 0.00 
65.0 0.47 0.00 
65.0 0.54 0.00 
65.0 0.55 0.00 
65.0 0.57 0.00 
65.0 0.58 0.00 
65.0 0.57 0.00 
65.0 0.56 0.00 
65.0 0.54 0.00 
65.0 0.52 0.00 
65.0 0.50 0.00 
65.0 0.48 0.01 
65.0 0.52 0.00 
65.0 0.55 0.00 
65.0 0.51 0.00 
65.0 0.50 0.00 
65.0 0.49 0.00 
65.0 0.48 0.00 
65.0 0.49 0.00 
65.0 0.50 0.00 
65.0 0.52 0.00 
65.0 0.53 0.00 
65.0 0.55 0.00 
65.0 0.56 0.00 
65.0 0.58 0.00 
65.0 0.40 0.00 
65.0 0.53 0.00 
65.0 0.55 0.00 
65.0 0.57 0.00 
65.0 0.57 0.00 
65.0 0.57 0.00 
65.0 0.56 0.00 
65.0 0.54 0.00 
65.0 0.52 0.00 
75.0kHz
75.0 1.46 0.53 
75.0 1.44 0.53 
75.0 1.54 0.53 
75.0 1.44 0.53 
75.0 1.42 0.53 
75.0 1.48 0.53 
75.0 1.40 0.48 
75.0 1.54 0.53 
75.0 1.42 0.55 
75.0 1.42 0.53 
75.0 1.47 0.51 
75.0 1.29 0.53 
75.0 1.53 0.52 
75.0 1.42 0.53 
75.0 1.42 0.53 
75.0 1.48 0.52 
75.0 1.38 0.53 
75.0 1.53 0.47 
75.0 1.41 0.53 
75.0 1.41 0.49 
75.0 1.50 0.53 
75.0 1.47 0.54 
75.0 1.52 0.53 
75.0 1.41 0.52 
75.0 1.41 0.53 
75.0 1.50 0.53 
75.0 1.53 0.56 
75.0 1.52 0.53 
75.0 1.42 0.54 
75.0 1.40 0.53 
75.0 1.51 0.55 
75.0 1.52 0.53 
75.0 1.51 0.54 
75.0 1.47 0.53 
75.0 1.42 0.53 
75.0 1.49 0.53 
75.0 1.53 0.53 
75.0 1.52 0.52 
75.0 1.56 0.53 
75.0 1.41 0.59 
75.0 1.51 0.53 
75.0 1.54 0.54 
75.0 1.51 0.53 
75.0 1.61 0.52 
75.0 1.42 0.53 
75.0 1.52 0.53 
75.0 1.54 0.53 
75.0 1.52 0.53 
75.0 1.60 0.49 
75.0 1.43 0.53 
85.0kHz
85.0 2.23 0.83 
85.0 2.27 0.83 
85.0 2.19 0.83 
85.0 2.19 0.83 
85.0 2.05 0.83 
85.0 2.17 0.83 
85.0 2.11 0.81 
85.0 2.06 0.82 
85.0 2.25 0.83 
85.0 2.04 0.81 
85.0 2.13 0.83 
85.0 2.24 0.83 
85.0 2.32 0.77 
85.0 2.18 0.83 
85.0 2.21 0.83 
85.0 2.05 0.81 
85.0 2.18 0.83 
85.0 2.15 0.83 
85.0 2.06 0.81 
85.0 2.26 0.83 
85.0 2.10 0.83 
85.0 2.13 0.84 
85.0 2.26 0.83 
85.0 2.31 0.85 
85.0 2.21 0.85 
85.0 2.24 0.83 
85.0 2.07 0.84 
85.0 2.18 0.83 
85.0 2.17 0.84 
85.0 2.07 0.87 
85.0 2.29 0.84 
85.0 2.12 0.83 
85.0 2.11 0.88 
85.0 2.26 0.84 
85.0 2.32 0.84 
85.0 2.18 0.86 
85.0 2.24 0.84 
85.0 2.06 0.83 
85.0 2.27 0.81 
85.0 2.17 0.83 
85.0 2.06 0.76 
85.0 2.14 0.84 
85.0 2.08 0.83 
85.0 2.09 0.84 
85.0 2.25 0.84 
85.0 2.22 0.83 
85.0 2.14 0.89 
85.0 2.24 0.84 
85.0 2.06 0.83 
85.0 2.20 0.86 
95.0kHz
95.0 2.61 0.90 
95.0 2.38 0.91 
95.0 2.45 0.90 
95.0 2.51 0.85 
95.0 2.48 0.91 
95.0 2.53 0.90 
95.0 2.65 0.90 
95.0 2.27 0.90 
95.0 2.62 0.90 
95.0 2.27 0.92 
95.0 2.62 0.89 
95.0 2.28 0.90 
95.0 2.60 0.91 
95.0 2.31 0.91 
95.0 2.56 0.91 
95.0 2.36 0.89 
95.0 2.51 0.88 
95.0 2.41 0.90 
95.0 2.45 0.90 
95.0 2.48 0.91 
95.0 2.36 0.91 
95.0 2.57 0.92 
95.0 2.32 0.98 
95.0 2.47 0.91 
95.0 2.48 0.91 
95.0 2.51 0.91 
95.0 2.53 0.91 
95.0 2.45 0.91 
95.0 2.37 0.98 
95.0 2.61 0.92 
95.0 2.27 0.90 
95.0 2.63 0.91 
95.0 2.28 0.91 
95.0 2.61 0.91 
95.0 2.29 0.91 
95.0 2.59 0.96 
95.0 2.34 0.91 
95.0 2.54 0.91 
95.0 2.38 0.92 
95.0 2.46 0.91 
95.0 2.46 0.83 
95.0 2.42 0.96 
95.0 2.49 0.93 
95.0 2.41 0.92 
95.0 2.58 0.92 
95.0 2.38 0.92 
95.0 2.51 0.92 
95.0 2.44 0.90 
95.0 2.39 0.95 
95.0 2.52 0.92 
100kHz
100 2.20 0.89 
100 2.53 1.00 
100 2.15 0.97 
100 2.59 0.92 
100 2.39 0.90 
100 2.21 0.91 
100 2.51 0.93 
100 2.16 0.93 
100 2.59 0.93 
100 2.43 0.93 
100 2.28 0.93 
100 2.40 0.93 
100 2.17 0.93 
100 2.58 0.93 
100 2.47 0.93 
100 2.33 0.93 
100 2.59 0.97 
100 2.17 0.93 
100 2.57 0.89 
100 2.49 0.92 
100 2.36 0.94 
100 2.70 0.94 
100 2.18 0.95 
100 2.56 0.95 
100 2.53 0.94 
100 2.38 0.94 
100 2.80 0.94 
100 2.20 0.94 
100 2.54 0.94 
100 2.55 0.94 
100 2.38 0.94 
100 2.70 0.94 
100 2.22 0.91 
100 2.51 0.89 
100 2.59 1.00 
100 2.43 0.95 
100 2.70 0.92 
100 2.23 0.92 
100 2.47 0.95 
100 2.61 0.95 
100 2.46 0.95 
100 2.70 0.95 
100 2.25 0.94 
100 2.44 0.94 
100 2.65 0.94 
100 2.44 0.95 
100 2.69 0.95 
100 2.27 0.95 
100 2.40 0.95 
100 2.65 0.95 
stop
