increase_frequency:1000,first_frequency:10,last_frequency:100
frequency,transmission_ep,receiving_ep
10,0.3226,0
10,0.2199,0
10,0.2053,0
10,0.2102,0
10,0.2248,0
10,0.2004,0
10,0.1955,0
10,0.2102,0
10,0.2151,0
10,0.2004,0
10,0.1955,0
10,0.2102,0
10,0.2151,0
10,0.2004,0
10,0.2053,0
10,0.2004,0
10,0.2151,0
10,0.2248,0
10,0.2004,0
10,0.2004,0
10,0.2199,0
10,0.2004,0
10,0.1955,0
10,0.1808,0
10,0.2151,0
10,0.2151,0
10,0.2053,0
10,0.1906,0
10,0.2102,0
10,0.2151,0
10,0.2053,0
10,0.1955,0
10,0.2102,0
10,0.2102,0
10,0.2004,0
10,0.1906,0
10,0.2102,0
10,0.2248,0
10,0.2151,0
10,0.2248,0
10,0.2004,0
10,0.2151,0
10,0.2444,0
10,0.1955,0
10,0.2053,0
10,0.2199,0
10,0.2151,0
10,0.2053,0
10,0.1955,0
10,0.2102,0
11,0.0782,0
11,0.0196,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
12,0.0293,0
12,0.044,0
12,0.0684,0
12,0.0538,0
12,0.0342,0
12,0.044,0
12,0.0635,0
12,0.0538,0
12,0,0
12,0.0587,0
12,0.0635,0
12,0.0684,0
12,0.0489,0
12,0.0635,0
12,0.0635,0
12,0.044,0
12,0.0538,0
12,0.0587,0
12,0.0587,0
12,0.044,0
12,0.0538,0
12,0.0489,0
12,0.044,0
12,0.044,0
12,0.0684,0
12,0.0635,0
12,0.0342,0
12,0.0538,0
12,0.0684,0
12,0.0538,0
12,0.0342,0
12,0.044,0
12,0.0635,0
12,0.0489,0
12,0.0978,0
12,0.0635,0
12,0.0635,0
12,0.0684,0
12,0.0587,0
12,0.0635,0
12,0.0538,0
12,0.044,0
12,0.0587,0
12,0.0587,0
12,0.0538,0
12,0.0489,0
12,0.0684,0
12,0.1369,0
12,0.044,0
12,0.044,0
13,0.3959,0
13,0.4106,0
13,0.4106,0
13,0.4203,0
13,0.4154,0
13,0.4057,0
13,0.4057,0
13,0.4057,0
13,0.4203,0
13,0.4203,0
13,0.4252,0
13,0.4203,0
13,0.4203,0
13,0.4106,0
13,0.3959,0
13,0.4057,0
13,0.4008,0
13,0.4203,0
13,0.4203,0
13,0.4154,0
13,0.4057,0.0244
13,0.4106,0
13,0.3959,0
13,0.4057,0
13,0.4154,0
13,0.4106,0
13,0.4252,0
13,0.4203,0
13,0.4154,0
13,0.4057,0
13,0.4057,0
13,0.4106,0
13,0.4203,0
13,0.4106,0
13,0.4252,0
13,0.4154,0
13,0.4203,0
13,0.3959,0
13,0.4057,0
13,0.4057,0
13,0.4154,0
13,0.4301,0
13,0.4203,0
13,0.4252,0
13,0.4057,0
13,0.4154,0
13,0.4106,0
13,0.4203,0
13,0.4203,0
13,0.4643,0
14,0.2004,0
14,0.1026,0
14,0.0538,0
14,0.0391,0
14,0.0196,0
14,0.0244,0
14,0.0147,0
14,0.0098,0
14,0.0196,0
14,0.0049,0
14,0.0147,0
14,0,0
14,0.0147,0
14,0.0098,0
14,0.0098,0
14,0,0
14,0.0049,0
14,0.0098,0
14,0.0049,0
14,0.0098,0
14,0.0049,0
14,0.0098,0
14,0,0
14,0.0098,0
14,0.0049,0
14,0,0
14,0.0098,0
14,0,0
14,0.0049,0
14,0.0049,0
14,0.0049,0
14,0.0098,0
14,0,0
14,0.0049,0
14,0,0
14,0,0
14,0,0
14,0,0
14,0,0
14,0,0
14,0.0098,0
14,0,0
14,0.0098,0
14,0,0
14,0.0098,0
14,0.0049,0
14,0,0
14,0.0049,0
14,0,0
14,0,0
15,0.567,0
15,0.6452,0
15,0.6305,0
15,0.6207,0
15,0.6354,0
15,0.6452,0
15,0.6109,0
15,0.6354,0
15,0.6158,0
15,0.6158,0
15,0.6354,0
15,0.6305,0
15,0.6012,0
15,0.6158,0
15,0.6061,0
15,0.6354,0
15,0.6452,0
15,0.6207,0
15,0.6061,0
15,0.6256,0
15,0.6256,0
15,0.5963,0
15,0.6256,0
15,0.6256,0
15,0.6207,0
15,0.6256,0
15,0.6207,0
15,0.6158,0.0147
15,0.6598,0
15,0.6403,0
15,0.6403,0
15,0.6256,0
15,0.6256,0
15,0.6109,0
15,0.6452,0
15,0.65,0
15,0.6452,0
15,0.6403,0
15,0.6696,0.0049
15,0.6647,0.0049
15,0.6647,0.0049
15,0.6794,0
15,0.6745,0
15,0.6598,0
15,0.694,0
15,0.6891,0
15,0.5865,0
15,0.6061,0
15,0.6354,0
15,0.6305,0
16,0.3568,0
16,0.3226,0
16,0.3715,0
16,0.347,0
16,0.347,0
16,0.2835,0
16,0.3226,0
16,0.2835,0
16,0.2004,0
16,0.2004,0
16,0.3372,0
16,0.347,0
16,0.3324,0
16,0.3177,0
16,0.2884,0
16,0.3128,0
16,0.2493,0
16,0.4936,0
16,0.3666,0
16,0.347,0
16,0.303,0
16,0.2884,0
16,0.3275,0
16,0.2884,0
16,0.303,0
16,0.3079,0
16,0.2786,0
16,0.3177,0
16,0.3519,0
16,0.347,0
16,0.3128,0
16,0.3177,0
16,0.3128,0
16,0.2151,0
16,0.2688,0
16,0.3177,0
16,0.347,0
16,0.3324,0
16,0.3324,0
16,0.3763,0
16,0.3715,0
16,0.3666,0
16,0.3617,0
16,0.3715,0
16,0.3715,0
16,0.3715,0
16,0.347,0
16,0.3763,0
16,0.391,0
16,0.3715,0
17,0.8749,0.0293
17,0.8798,0.0391
17,0.8895,0.044
17,0.8749,0.044
17,0.8847,0.0489
17,0.8798,0.0489
17,0.8798,0.044
17,0.9042,0.044
17,0.914,0.0489
17,0.8895,0.0489
17,0.9042,0.0489
17,0.8993,0.0538
17,0.8895,0.0489
17,0.8993,0.0489
17,0.9042,0.0489
17,0.8993,0.0538
17,0.8651,0.0538
17,0.8993,0.0538
17,0.914,0.0538
17,0.9238,0.0489
17,0.9238,0.0489
17,0.9286,0.0538
17,0.9335,0.0538
17,0.9189,0.0538
17,0.914,0.0538
17,0.9189,0.0538
17,0.9238,0.0538
17,0.9091,0.0538
17,0.9189,0.0538
17,0.9042,0.0489
17,0.9042,0.0489
17,0.9042,0.0489
17,0.914,0.0489
17,0.8944,0.0489
17,0.8749,0.0489
17,0.8602,0.044
17,0.8553,0.0489
17,0.8602,0.044
17,0.8847,0.0489
17,0.8798,0.0489
17,0.8944,0.0489
17,0.8798,0.044
17,0.8798,0.0489
17,0.8895,0.0489
17,0.8749,0.044
17,0.8651,0.0489
17,0.87,0.044
17,0.8651,0.044
17,0.8602,0.044
17,0.8749,0.0489
18,0.3959,0.0147
18,0.1564,0
18,0.044,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
19,0.0049,0
19,0.0587,0
19,0.0587,0
19,0.0831,0
19,0.088,0
19,0.088,0
19,0.0684,0
19,0.0733,0
19,0.0782,0
19,0.0538,0
19,0.0782,0
19,0.0831,0
19,0.0929,0
19,0.088,0
19,0.0196,0
19,0.0733,0
19,0.0831,0
19,0.0733,0
19,0.088,0
19,0.0733,0
19,0.0831,0
19,0.0733,0
19,0.088,0
19,0.0635,0
19,0.0929,0
19,0.0831,0
19,0.088,0
19,0.0782,0
19,0.0831,0
19,0.0782,0
19,0.0782,0
19,0.0733,0
19,0.0733,0
19,0.0831,0
19,0.088,0
19,0.0831,0
19,0.0733,0
19,0.1222,0
19,0.0782,0
19,0.0782,0
19,0.0635,0
19,0.0831,0
19,0.0782,0
19,0.088,0
19,0.0684,0
19,0.0831,0
19,0.0733,0
19,0.088,0
