increase_frequency:30000 first_frequency:10 last_frequency:100
frequency transmission_ep receiving_ep power_efficiency
10kHz
10 0.12 0.80 
10 0.10 0.00 
10 0.09 0.61 
10 0.09 0.05 
10 0.09 0.31 
10 0.09 0.66 
10 0.09 0.98 
10 0.09 1.03 
10 0.08 0.48 
10 0.09 0.50 
10 0.09 0.00 
10 0.12 0.25 
10 0.09 0.00 
10 0.08 0.00 
10 0.08 0.00 
10 0.09 0.00 
10 0.09 0.00 
10 0.09 0.00 
10 0.09 0.00 
10 0.09 0.00 
10 0.08 0.00 
10 0.09 0.00 
10 0.09 0.29 
10 0.09 0.56 
10 0.08 0.32 
10 0.08 0.63 
10 0.09 0.80 
10 0.08 1.01 
10 0.08 0.80 
10 0.09 0.37 
10 0.08 0.28 
10 0.09 0.00 
10 0.08 0.00 
10 0.08 0.00 
10 0.08 0.00 
10 0.09 0.00 
10 0.08 0.00 
10 0.08 0.00 
10 0.08 0.00 
10 0.08 0.00 
10 0.09 0.00 
10 0.08 0.00 
10 0.09 0.47 
10 0.09 0.76 
10 0.09 0.67 
10 0.08 0.49 
10 0.08 0.66 
10 0.09 0.76 
10 0.09 0.77 
10 0.09 0.00 
40.0kHz
40.0 0.63 0.36 
40.0 0.63 0.00 
40.0 0.64 0.00 
40.0 0.64 0.00 
40.0 0.65 0.48 
40.0 0.63 0.70 
40.0 0.64 1.01 
40.0 0.63 0.29 
40.0 0.64 0.00 
40.0 0.63 0.00 
40.0 0.64 0.13 
40.0 0.65 0.69 
40.0 0.64 1.21 
40.0 0.64 0.74 
40.0 0.64 0.00 
40.0 0.64 0.00 
40.0 0.64 0.00 
40.0 0.64 0.00 
40.0 0.64 1.05 
40.0 0.64 1.17 
40.0 0.64 0.77 
40.0 0.63 0.00 
40.0 0.61 0.00 
40.0 0.64 0.00 
40.0 0.63 0.14 
40.0 0.64 1.24 
40.0 0.63 1.32 
40.0 0.64 0.00 
40.0 0.64 0.00 
40.0 0.64 0.00 
40.0 0.63 0.00 
40.0 0.64 0.60 
40.0 0.63 1.32 
40.0 0.66 1.09 
40.0 0.64 0.38 
40.0 0.64 0.00 
40.0 0.64 0.00 
40.0 0.64 0.00 
40.0 0.64 0.64 
40.0 0.63 0.46 
40.0 0.64 0.61 
40.0 0.63 0.00 
40.0 0.63 0.00 
40.0 0.63 0.00 
40.0 0.65 0.00 
40.0 0.64 0.87 
40.0 0.64 1.79 
40.0 0.63 0.69 
40.0 0.63 0.00 
40.0 0.64 0.00 
70.0kHz
70.0 0.38 0.00 
70.0 0.34 0.00 
70.0 0.34 0.02 
70.0 0.34 0.00 
70.0 0.34 0.00 
70.0 0.35 0.02 
70.0 0.34 0.00 
70.0 0.40 0.00 
70.0 0.35 0.00 
70.0 0.34 0.00 
70.0 0.34 0.00 
70.0 0.35 0.00 
70.0 0.34 0.00 
70.0 0.36 0.00 
70.0 0.36 0.00 
70.0 0.34 0.02 
70.0 0.34 0.00 
70.0 0.37 0.02 
70.0 0.34 0.04 
70.0 0.36 0.00 
70.0 0.35 0.12 
70.0 0.35 0.09 
70.0 0.37 0.00 
70.0 0.34 0.01 
70.0 0.39 0.44 
70.0 0.35 0.00 
70.0 0.35 0.14 
70.0 0.36 0.45 
70.0 0.37 0.00 
70.0 0.37 0.29 
70.0 0.35 0.21 
70.0 0.35 0.00 
70.0 0.34 0.26 
70.0 0.37 0.23 
70.0 0.37 0.00 
70.0 0.38 0.32 
70.0 0.36 0.24 
70.0 0.31 0.00 
70.0 0.38 0.31 
70.0 0.36 0.29 
70.0 0.37 0.00 
70.0 0.36 0.35 
70.0 0.37 0.49 
70.0 0.35 0.00 
70.0 0.38 0.38 
70.0 0.36 0.41 
70.0 0.36 0.00 
70.0 0.35 0.22 
70.0 0.37 0.31 
70.0 0.37 0.00 
100.0kHz
100.0 1.78 2.18 
100.0 1.78 1.36 
100.0 1.76 1.01 
100.0 1.76 0.85 
100.0 1.79 0.19 
100.0 1.79 0.00 
100.0 1.78 0.00 
100.0 1.76 0.00 
100.0 1.79 0.00 
100.0 1.78 0.00 
100.0 1.79 0.00 
100.0 1.78 0.00 
100.0 1.81 0.00 
100.0 1.84 0.00 
100.0 1.78 0.00 
100.0 1.79 0.00 
100.0 1.79 0.28 
100.0 1.78 0.00 
100.0 1.77 1.40 
100.0 1.79 3.40 
100.0 1.80 2.40 
100.0 1.79 3.81 
100.0 1.81 2.81 
100.0 1.81 3.81 
100.0 1.85 3.63 
100.0 1.80 1.71 
100.0 1.80 1.67 
100.0 1.79 0.27 
100.0 1.77 0.33 
100.0 1.77 0.00 
100.0 1.79 0.00 
100.0 1.79 0.00 
100.0 1.79 0.00 
100.0 1.80 0.00 
100.0 1.80 0.00 
100.0 1.79 0.00 
100.0 1.79 0.00 
100.0 1.78 0.00 
100.0 1.79 0.00 
100.0 1.79 0.00 
100.0 1.77 0.74 
100.0 1.78 0.98 
100.0 1.79 0.04 
100.0 1.77 1.68 
100.0 1.80 2.17 
100.0 1.77 1.62 
100.0 1.78 2.34 
100.0 1.78 2.41 
100.0 1.78 4.13 
100.0 1.77 1.36 
stop
