increase_frequency:30000 first_frequency:10 last_frequency:100
frequency transmission_ep receiving_ep power_efficiency
10kHz
10 0.15 0.27 
10 0.13 0.18 
10 0.13 0.15 
10 0.13 0.14 
10 0.12 0.15 
10 0.12 0.15 
10 0.12 0.15 
10 0.11 0.16 
10 0.13 0.15 
10 0.13 0.16 
10 0.12 0.16 
10 0.11 0.16 
10 0.12 0.15 
10 0.12 0.15 
10 0.12 0.15 
10 0.13 0.16 
10 0.13 0.16 
10 0.12 0.16 
10 0.13 0.15 
10 0.13 0.17 
10 0.12 0.16 
10 0.13 0.15 
10 0.13 0.15 
10 0.12 0.15 
10 0.12 0.16 
10 0.13 0.16 
10 0.12 0.16 
10 0.12 0.15 
10 0.12 0.16 
10 0.12 0.16 
10 0.13 0.16 
10 0.12 0.16 
10 0.12 0.16 
10 0.09 0.16 
10 0.12 0.16 
10 0.13 0.16 
10 0.11 0.16 
10 0.11 0.16 
10 0.12 0.19 
10 0.13 0.15 
10 0.13 0.16 
10 0.13 0.15 
10 0.13 0.15 
10 0.12 0.15 
10 0.13 0.16 
10 0.12 0.16 
10 0.13 0.16 
10 0.13 0.16 
10 0.13 0.16 
10 0.13 0.16 
40.0kHz
40.0 0.71 1.11 
40.0 0.76 1.14 
40.0 0.78 1.16 
40.0 0.78 1.16 
40.0 0.78 1.16 
40.0 0.78 1.16 
40.0 0.78 1.16 
40.0 0.78 1.15 
40.0 0.78 1.16 
40.0 0.78 1.16 
40.0 0.77 1.16 
40.0 0.79 1.17 
40.0 0.79 1.16 
40.0 0.78 1.16 
40.0 0.81 1.17 
40.0 0.79 1.20 
40.0 0.79 1.17 
40.0 0.79 1.16 
40.0 0.78 1.16 
40.0 0.79 1.18 
40.0 0.79 1.17 
40.0 0.80 1.16 
40.0 0.79 1.16 
40.0 0.78 1.17 
40.0 0.79 1.15 
40.0 0.72 1.17 
40.0 0.79 1.17 
40.0 0.79 1.17 
40.0 0.74 1.17 
40.0 0.78 1.13 
40.0 0.79 1.16 
40.0 0.78 1.17 
40.0 0.79 1.18 
40.0 0.78 1.16 
40.0 0.78 1.17 
40.0 0.79 1.16 
40.0 0.79 1.17 
40.0 0.79 1.16 
40.0 0.79 1.17 
40.0 0.78 1.17 
40.0 0.78 1.16 
40.0 0.79 1.16 
40.0 0.78 1.17 
40.0 0.82 1.17 
40.0 0.79 1.16 
40.0 0.79 1.16 
40.0 0.78 1.17 
40.0 0.79 1.17 
40.0 0.79 1.16 
40.0 0.79 1.19 
70.0kHz
70.0 0.74 1.33 
70.0 0.74 1.36 
70.0 0.73 1.33 
70.0 0.73 1.32 
70.0 0.73 1.31 
70.0 0.72 1.31 
70.0 0.72 1.31 
70.0 0.72 1.30 
70.0 0.71 1.30 
70.0 0.72 1.31 
70.0 0.74 1.30 
70.0 0.69 1.35 
70.0 0.71 1.30 
70.0 0.72 1.30 
70.0 0.71 1.30 
70.0 0.70 1.30 
70.0 0.71 1.31 
70.0 0.73 1.31 
70.0 0.71 1.30 
70.0 0.70 1.30 
70.0 0.72 1.31 
70.0 0.73 1.31 
70.0 0.72 1.31 
70.0 0.73 1.30 
70.0 0.71 1.30 
70.0 0.71 1.30 
70.0 0.72 1.31 
70.0 0.71 1.31 
70.0 0.72 1.30 
70.0 0.70 1.29 
70.0 0.71 1.31 
70.0 0.71 1.30 
70.0 0.72 1.30 
70.0 0.72 1.30 
70.0 0.71 1.30 
70.0 0.72 1.31 
70.0 0.73 1.31 
70.0 0.74 1.31 
70.0 0.72 1.31 
70.0 0.71 1.30 
70.0 0.70 1.30 
70.0 0.72 1.30 
70.0 0.71 1.29 
70.0 0.70 1.30 
70.0 0.73 1.31 
70.0 0.70 1.29 
70.0 0.71 1.30 
70.0 0.71 1.30 
70.0 0.70 1.31 
70.0 0.73 1.31 
100.0kHz
100.0 1.96 2.34 
100.0 2.00 2.34 
100.0 2.05 2.35 
100.0 1.97 2.34 
100.0 1.97 2.35 
100.0 1.99 2.35 
100.0 1.98 2.39 
100.0 2.06 2.35 
100.0 1.99 2.44 
100.0 1.98 2.37 
100.0 1.98 2.34 
100.0 1.97 2.36 
100.0 2.00 2.34 
100.0 1.98 2.34 
100.0 1.98 2.35 
100.0 1.98 2.34 
100.0 1.96 2.35 
100.0 2.01 2.34 
100.0 2.02 2.28 
100.0 1.98 2.35 
100.0 1.98 2.45 
100.0 1.98 2.39 
100.0 2.01 2.36 
100.0 2.00 2.33 
100.0 1.98 2.34 
100.0 1.99 2.34 
100.0 1.98 2.34 
100.0 1.98 2.34 
100.0 2.06 2.34 
100.0 1.98 2.32 
100.0 1.98 2.33 
100.0 1.98 2.40 
100.0 1.96 2.41 
100.0 2.02 2.38 
100.0 2.01 2.35 
100.0 1.97 2.35 
100.0 1.97 2.33 
100.0 1.97 2.35 
100.0 2.01 2.34 
100.0 2.03 2.34 
100.0 1.98 2.34 
100.0 1.97 2.35 
100.0 1.96 2.36 
100.0 1.96 2.35 
100.0 2.05 2.39 
100.0 1.97 2.32 
100.0 1.98 2.33 
100.0 1.97 2.35 
100.0 1.96 2.34 
100.0 1.98 2.34 
stop
increase_frequency:20000 first_frequency:10 last_frequency:100
frequency transmission_ep receiving_ep power_efficiency
10kHz
10 0.07 0.14 
10 0.11 0.16 
10 0.07 0.16 
10 0.11 0.16 
10 0.12 0.16 
10 0.12 0.17 
10 0.12 0.16 
10 0.13 0.16 
10 0.13 0.17 
10 0.11 0.16 
10 0.13 0.17 
10 0.12 0.16 
10 0.13 0.17 
10 0.13 0.16 
10 0.12 0.17 
10 0.13 0.17 
10 0.12 0.17 
10 0.12 0.16 
10 0.13 0.17 
10 0.13 0.17 
10 0.12 0.16 
10 0.12 0.16 
10 0.13 0.17 
10 0.12 0.16 
10 0.12 0.16 
10 0.12 0.16 
10 0.13 0.16 
10 0.12 0.17 
10 0.13 0.17 
10 0.13 0.17 
10 0.12 0.17 
10 0.13 0.17 
10 0.11 0.16 
10 0.13 0.16 
10 0.13 0.16 
10 0.12 0.16 
10 0.12 0.16 
10 0.12 0.17 
10 0.12 0.17 
10 0.12 0.17 
10 0.12 0.16 
10 0.12 0.16 
10 0.13 0.16 
10 0.12 0.17 
10 0.12 0.16 
10 0.12 0.17 
10 0.12 0.16 
10 0.13 0.17 
10 0.12 0.16 
10 0.12 0.17 
30.0kHz
30.0 0.40 0.61 
30.0 0.44 0.64 
30.0 0.44 0.65 
30.0 0.45 0.65 
30.0 0.45 0.65 
30.0 0.46 0.66 
30.0 0.45 0.68 
30.0 0.45 0.66 
30.0 0.45 0.66 
30.0 0.45 0.65 
30.0 0.45 0.66 
30.0 0.45 0.65 
30.0 0.44 0.66 
30.0 0.48 0.66 
30.0 0.44 0.66 
30.0 0.45 0.66 
30.0 0.45 0.66 
30.0 0.45 0.65 
30.0 0.45 0.65 
30.0 0.45 0.66 
30.0 0.45 0.68 
30.0 0.45 0.66 
30.0 0.45 0.66 
30.0 0.45 0.66 
30.0 0.46 0.66 
30.0 0.45 0.66 
30.0 0.45 0.66 
30.0 0.46 0.67 
30.0 0.46 0.66 
30.0 0.45 0.66 
30.0 0.46 0.67 
30.0 0.46 0.66 
30.0 0.45 0.66 
30.0 0.46 0.66 
30.0 0.46 0.67 
30.0 0.46 0.67 
30.0 0.46 0.67 
30.0 0.47 0.67 
30.0 0.45 0.67 
30.0 0.45 0.67 
30.0 0.45 0.67 
30.0 0.45 0.68 
30.0 0.45 0.66 
30.0 0.45 0.67 
30.0 0.46 0.66 
