increase_frequency:10000,,,first_frequency:10,last_frequency:100,
frequency,,,transmission_ep,receiving_ep,power_efficiency
10kHz,,,,,
10,,,0.14,0.25,0.1
10,,,0.13,0.19,0.2
10,,,0.13,0.18,0.3
10,,,0.12,0.17,0.4
10,,,0.13,0.18,0.5
10,,,0.13,0.17,0.6
10,,,0.13,0.17,0.7
10,,,0.13,0.17,0.8
10,,,0.13,0.17,0.9
10,,,0.13,0.17,1
10,,,0.13,0.16,1.1
10,,,0.13,0.17,1.2
10,,,0.13,0.17,1.3
10,,,0.12,0.17,1.4
10,,,0.12,0.17,1.5
10,,,0.13,0.17,1.6
10,,,0.12,0.16,1.7
10,,,0.13,0.17,1.8
10,,,0.13,0.16,1.9
10,,,0.13,0.16,2
10,,,0.13,0.17,2.1
10,,,0.13,0.17,2.2
10,,,0.12,0.17,2.3
10,,,0.13,0.17,2.4
10,,,0.12,0.17,2.5
10,,,0.12,0.14,2.6
10,,,0.13,0.17,2.7
10,,,0.12,0.17,2.8
10,,,0.12,0.17,2.9
10,,,0.12,0.17,3
10,,,0.13,0.17,3.1
10,,,0.13,0.17,3.2
10,,,0.13,0.16,3.3
10,,,0.15,0.17,3.4
10,,,0.12,0.16,3.5
10,,,0.12,0.17,3.6
10,,,0.12,0.17,3.7
10,,,0.13,0.16,3.8
10,,,0.13,0.16,3.9
10,,,0.13,0.17,4
10,,,0.13,0.16,4.1
10,,,0.12,0.16,4.2
10,,,0.13,0.16,4.3
10,,,0.13,0.16,4.4
10,,,0.12,0.16,4.5
10,,,0.12,0.16,4.6
10,,,0.13,0.16,4.7
10,,,0.13,0.16,4.8
10,,,0.12,0.16,4.9
10,,,0.12,0.16,5
20.0kHz,,,,,
20,,0.1,0.32,0.58,
20,,0.2,0.33,0.61,
20,,0.3,0.33,0.61,
20,,0.4,0.34,0.62,
20,,0.5,0.34,0.62,
20,,0.6,0.34,0.62,
20,,0.7,0.34,0.62,
20,,0.8,0.34,0.62,
20,,0.9,0.34,0.61,
20,,1,0.34,0.62,
20,,1.1,0.34,0.62,
20,,1.2,0.33,0.61,
20,,1.3,0.33,0.61,
20,,1.4,0.34,0.62,
20,,1.5,0.34,0.62,
20,,1.6,0.34,0.62,
20,,1.7,0.34,0.61,
20,,1.8,0.34,0.62,
20,,1.9,0.34,0.62,
20,,2,0.34,0.62,
20,,2.1,0.34,0.62,
20,,2.2,0.34,0.62,
20,,2.3,0.34,0.61,
20,,2.4,0.34,0.62,
20,,2.5,0.34,0.62,
20,,2.6,0.34,0.62,
20,,2.7,0.34,0.62,
20,,2.8,0.34,0.62,
20,,2.9,0.34,0.62,
20,,3,0.34,0.62,
20,,3.1,0.35,0.63,
20,,3.2,0.34,0.61,
20,,3.3,0.33,0.62,
20,,3.4,0.33,0.61,
20,,3.5,0.34,0.62,
20,,3.6,0.34,0.62,
20,,3.7,0.34,0.62,
20,,3.8,0.34,0.62,
20,,3.9,0.34,0.62,
20,,4,0.32,0.62,
20,,4.1,0.34,0.61,
20,,4.2,0.34,0.62,
20,,4.3,0.34,0.62,
20,,4.4,0.34,0.62,
20,,4.5,0.34,0.62,
20,,4.6,0.33,0.61,
20,,4.7,0.34,0.63,
20,,4.8,0.34,0.62,
20,,4.9,0.34,0.62,
20,,5,0.34,0.62,
30.0kHz,,,,,
30,,0.1,0.46,0.7,
30,,0.2,0.48,0.71,
30,,0.3,0.49,0.71,
30,,0.4,0.5,0.71,
30,,0.5,0.49,0.71,
30,,0.6,0.5,0.71,
30,,0.7,0.5,0.71,
30,,0.8,0.49,0.72,
30,,0.9,0.5,0.72,
30,,1,0.5,0.71,
30,,1.1,0.49,0.72,
30,,1.2,0.49,0.71,
30,,1.3,0.5,0.72,
30,,1.4,0.5,0.72,
30,,1.5,0.49,0.71,
30,,1.6,0.5,0.72,
30,,1.7,0.5,0.72,
30,,1.8,0.5,0.72,
30,,1.9,0.5,0.72,
30,,2,0.5,0.72,
30,,2.1,0.55,0.72,
30,,2.2,0.5,0.72,
30,,2.3,0.51,0.71,
30,,2.4,0.5,0.72,
30,,2.5,0.49,0.71,
30,,2.6,0.49,0.72,
30,,2.7,0.5,0.72,
30,,2.8,0.49,0.72,
30,,2.9,0.5,0.71,
30,,3,0.5,0.7,
30,,3.1,0.49,0.72,
30,,3.2,0.5,0.72,
30,,3.3,0.5,0.72,
30,,3.4,0.5,0.72,
30,,3.5,0.5,0.72,
30,,3.6,0.49,0.72,
30,,3.7,0.5,0.73,
30,,3.8,0.49,0.71,
30,,3.9,0.5,0.72,
30,,4,0.49,0.72,
30,,4.1,0.5,0.72,
30,,4.2,0.49,0.72,
30,,4.3,0.49,0.72,
30,,4.4,0.47,0.73,
30,,4.5,0.52,0.72,
30,,4.6,0.5,0.72,
30,,4.7,0.5,0.72,
30,,4.8,0.5,0.72,
30,,4.9,0.5,0.72,
30,,5,0.5,0.72,
40.0kHz,,,,,
40,,0.1,0.74,1.14,
40,,0.2,0.76,1.16,
40,,0.3,0.78,1.16,
40,,0.4,0.78,1.17,
40,,0.5,0.84,1.17,
40,,0.6,0.78,1.16,
40,,0.7,0.78,1.16,
40,,0.8,0.78,1.16,
40,,0.9,0.78,1.16,
40,,1,0.78,1.16,
40,,1.1,0.78,1.16,
40,,1.2,0.8,1.15,
40,,1.3,0.78,1.21,
40,,1.4,0.78,1.15,
40,,1.5,0.78,1.16,
40,,1.6,0.78,1.16,
40,,1.7,0.79,1.16,
40,,1.8,0.79,1.16,
40,,1.9,0.78,1.17,
40,,2,0.79,1.17,
40,,2.1,0.78,1.17,
40,,2.2,0.78,1.16,
40,,2.3,0.8,1.16,
40,,2.4,0.78,1.17,
40,,2.5,0.78,1.16,
40,,2.6,0.78,1.16,
40,,2.7,0.79,1.16,
40,,2.8,0.79,1.16,
40,,2.9,0.78,1.16,
40,,3,0.77,1.13,
40,,3.1,0.79,1.16,
40,,3.2,0.79,1.16,
40,,3.3,0.79,1.16,
40,,3.4,0.78,1.16,
40,,3.5,0.79,1.15,
40,,3.6,0.79,1.16,
40,,3.7,0.79,1.16,
40,,3.8,0.78,1.15,
40,,3.9,0.78,1.16,
40,,4,0.78,1.15,
40,,4.1,0.78,1.16,
40,,4.2,0.79,1.15,
40,,4.3,0.78,1.15,
40,,4.4,0.78,1.15,
40,,4.5,0.81,1.15,
40,,4.6,0.79,1.16,
40,,4.7,0.78,1.17,
40,,4.8,0.78,1.15,
40,,4.9,0.78,1.15,
40,,5,0.78,1.15,
50.0kHz,,,,,
50,,0.1,0.34,0.57,
50,,0.2,0.1,0.29,
50,,0.3,0,0.17,
50,,0.4,0,0.09,
50,,0.5,0,0.06,
50,,0.6,0,0.06,
50,,0.7,0,0.06,
50,,0.8,0,0.06,
50,,0.9,0,0.05,
50,,1,0,0.05,
50,,1.1,0,0.06,
50,,1.2,0,0.06,
50,,1.3,0,0.05,
50,,1.4,0,0.07,
50,,1.5,0,0.06,
50,,1.6,0,0.06,
50,,1.7,0,0.06,
50,,1.8,0,0.06,
50,,1.9,0,0.05,
50,,2,0,0.05,
50,,2.1,0,0.06,
50,,2.2,0,0.06,
50,,2.3,0,0.05,
50,,2.4,0,0.05,
50,,2.5,0,0.06,
50,,2.6,0,0.09,
50,,2.7,0,0.06,
50,,2.8,0,0.05,
50,,2.9,0,0.05,
50,,3,0,0.04,
50,,3.1,0,0.04,
50,,3.2,0,0.06,
50,,3.3,0,0.05,
50,,3.4,0,0.06,
50,,3.5,0,0.05,
50,,3.6,0,0.04,
