increase_frequency:5000,first_frequency:5,last_frequency:100
frequency,transmission_ep,receiving_ep
5kHz,,
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0.01,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0.1,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
10.0kHz,,
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0.11,0
10,0,0
10,0,0
10,1.07,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0.22,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0.82,0
10,1.43,0
10,0.95,0
15.0kHz,,
15,0,0
15,0,0.01
15,0,0.01
15,0,0.01
15,0,0.01
15,0,0.01
15,0,0.01
15,0,0.01
15,0,0.01
15,0,0.01
15,0,0.01
15,0,0.01
15,0,0.01
15,0.21,0.01
15,0,0.01
15,0,0.01
15,1.22,0.01
15,2.07,0
15,0,0.01
15,0,0.01
15,1.65,0.01
15,2.17,0.01
15,0,0.01
15,2.45,0.01
15,1.57,0.01
15,1.29,0.01
15,0,0.01
15,3.06,0.01
15,1.78,0.01
15,1.77,0.01
15,0,0.01
15,0.62,0.01
15,2.16,0.01
15,2.41,0.01
15,0,0.01
15,1.26,0.01
15,2.7,0.01
15,3.12,0.01
15,2.17,0.01
15,0,0.01
15,5,0.01
15,5,0.01
15,4.09,0.01
15,3.44,0.01
15,5,0.01
15,5,0.01
15,4.31,0.01
15,5,0.01
15,4.15,0.01
15,5,0.01
15,5,0.01
15,5,0.01
15,5,0.01
15,5,0.01
15,4.94,0.01
15,5,0.01
15,5,0.01
15,4.96,0.01
15,3.63,0.01
15,5,0.01
20.0kHz,,
20,0,0
20,0,0
20,2.22,0
20,0,0
20,0.51,0
20,2.08,0
20,1.28,0
20,1,0
20,1.11,0
20,0.9,0
20,1.37,0
20,1.37,0
20,1.83,0
20,0,0
20,3.12,0
20,4.38,0
20,0,0
20,1.55,0
20,5,0
20,3.05,0
20,4.86,0
20,5,0
20,5,0
20,4.94,0
20,5,0
20,5,0
20,5,0.01
20,4.86,0
20,4.68,0
20,5,0
20,5,0
20,5,0.01
20,5,0
20,5,0
20,5,0
20,5,0
20,4.73,0
20,4.64,0
20,5,0
20,4.74,0
20,3.72,0
20,5,0
20,2.23,0
20,3.27,0
20,5,0
20,3.25,0
20,3.85,0
20,5,0
20,3.49,0
20,4.77,0
20,5,0
20,4.16,0
20,5,0
20,5,0
20,4.23,0
20,5,0
20,4.57,0
20,5,0
20,5,0
20,4.96,0
25.0kHz,,
25,0,0.03
25,4.12,0.04
25,2.7,0.04
25,3.21,0.04
25,5,0.04
25,4.5,0.04
25,5,0.04
25,2.8,0.04
25,4.64,0.04
25,4.94,0.04
25,5,0.04
25,2.69,0.04
25,2.76,0.04
25,4.48,0.04
25,3.14,0.04
25,5,0.04
25,2.68,0.04
25,2.7,0.04
25,3.83,0.04
25,2.4,0.04
25,5,0.04
25,2.07,0.04
25,2.74,0.05
25,3.42,0.04
25,2.48,0.03
25,5,0.04
25,2.57,0.03
25,2.78,0.04
25,3.34,0.04
25,1.3,0.03
25,5,0.04
25,2.66,0.04
25,2.86,0.04
25,3.32,0.04
25,2.58,0.04
25,5,0.04
25,3.05,0.03
25,2.84,0.04
25,3.32,0.04
25,3.38,0.03
25,5,0.04
25,3.59,0.04
25,2.74,0.04
25,3.25,0.04
25,3.88,0.04
25,5,0.04
25,3.91,0.03
25,2.78,0.03
25,3.51,0.04
25,4.51,0.04
25,5,0.04
25,3.79,0.03
25,2.9,0.03
25,5,0.03
25,4.35,0.03
25,5,0.03
25,3.4,0.03
25,2.78,0.03
25,5,0.03
25,4.39,0.04
30.0kHz,,
30,3.73,0.01
30,4.59,0
30,3.7,0
30,5,0
30,5,0
30,5,0
30,5,0
30,4.51,0
30,5,0
30,4.06,0
30,5,0
30,4.29,0
30,5,0
30,4.51,0
30,5,0
30,1.86,0
30,4.04,0
30,3.66,0
30,4.49,0
30,4.56,0
30,5,0
30,5,0
30,4.73,0
30,5,0
30,4.63,0
30,5,0
30,4.49,0
30,5,0
30,3.39,0
30,5,0
30,3.74,0
30,5,0
30,3.67,0
30,5,0
30,2.92,0
30,5,0
30,3.86,0
30,5,0
30,4.4,0
30,5,0
30,2.29,0
30,3.99,0
30,3.74,0
30,5,0
30,5,0.02
30,5,0
30,5,0
30,5,0
30,5,0
30,5,0
30,5,0
30,5,0
30,5,0
30,5,0
30,5,0
30,5,0
30,4.11,0
30,5,0
30,2.29,0
30,5,0
35.0kHz,,
35,4.66,0.13
35,2.76,0.15
35,2.59,0.15
35,5,0.15
35,1.31,0.15
35,5,0.15
35,3.82,0.15
35,4.98,0.15
35,3.83,0.15
35,4.34,0.15
35,3.55,0.15
35,3.15,0.15
35,5,0.16
35,2.76,0.15
35,5,0.15
35,4.7,0.16
35,4.39,0.15
35,3.34,0.15
35,2.54,0.13
35,5,0.16
35,2.47,0.15
35,5,0.15
35,3.88,0.16
35,5,0.15
35,4.14,0.15
35,5,0.16
35,2.73,0.15
35,2.78,0.15
35,5,0.15
35,2.35,0.16
35,5,0.15
35,4.25,0.15
35,5,0.15
35,5,0.15
35,4.66,0.15
35,4.85,0.15
35,3.26,0.15
35,5,0.15
35,5,0.15
35,5,0.15
35,5,0.14
35,4.7,0.15
35,4.53,0.15
35,2.47,0.16
35,5,0.15
35,3.34,0.15
35,5,0.15
35,5,0.15
35,5,0.15
35,5,0.15
35,5,0.16
35,2.98,0.15
35,5,0.15
35,5,0.15
35,3.58,0.15
35,5,0.15
35,5,0.16
35,4.87,0.16
35,4.95,0.16
35,4.28,0.16
40.0kHz,,
40,4.46,0.12
40,2.47,0.12
40,2.03,0.12
40,5,0.12
40,3.91,0.12
40,2.21,0.12
40,5,0.12
40,4.78,0.13
40,2.51,0.14
40,5,0.13
40,4.51,0.13
40,4.79,0.13
40,3.76,0.13
40,3.45,0.13
40,5,0.13
40,3.54,0.13
40,1.74,0.13
40,5,0.12
40,4.58,0.12
40,2.03,0.12
40,5,0.13
40,4.98,0.12
40,3.52,0.12
40,5,0.12
40,4.04,0.12
40,5,0.12
40,2.51,0.1
40,1.34,0.12
40,5,0.12
40,4.07,0.12
40,0.11,0.12
40,5,0.12
40,4.98,0.13
40,1.83,0.12
40,5,0.12
40,2.93,0.14
40,4.8,0.12
40,5,0.13
40,1.7,0.12
40,5,0.12
40,3.47,0.12
40,0.93,0.12
40,5,0.12
40,5,0.12
40,1.83,0.12
40,5,0.12
40,4.7,0.12
40,3.23,0.12
40,5,0.12
40,3.34,0.12
40,5,0.12
40,2.39,0.12
40,1.89,0.12
40,5,0.12
40,4.38,0.12
40,2.6,0.12
40,5,0.12
40,4.78,0.12
40,2.11,0.12
40,5,0.12
45.0kHz,,
45,5,0.13
45,2.79,0.14
45,4.41,0.13
45,2.95,0.13
45,4.67,0.14
45,3.95,0.13
45,4.7,0.13
45,5,0.13
45,3.24,0.13
45,4.81,0.13
45,2.67,0.13
45,4.67,0.13
45,3.09,0.13
45,5,0.13
45,5,0.13
45,3.44,0.12
45,4.62,0.12
45,5,0.13
45,4.67,0.13
45,2.27,0.12
45,5,0.13
45,4.14,0.13
45,3.52,0.13
45,4.18,0.13
45,5,0.13
45,4.41,0.14
45,0.39,0.14
45,5,0.14
45,3.06,0.14
45,3.39,0.14
45,3.58,0.14
45,5,0.14
45,4.13,0.13
45,2.15,0.14
45,4.74,0.14
45,2.75,0.14
45,3.69,0.14
45,2.72,0.14
45,5,0.13
45,4.02,0.14
45,2.54,0.14
45,4.19,0.13
45,5,0.14
45,3.61,0.14
45,2.1,0.14
45,5,0.14
45,3.59,0.14
45,2.18,0.14
45,3.56,0.14
45,5,0.14
45,3.87,0.13
45,1.24,0.13
45,4.78,0.13
45,2.71,0.13
45,1.3,0.13
45,3.36,0.14
45,5,0.14
45,3.46,0.13
45,1.43,0.14
45,3.88,0.13
50.0kHz,,
50,1.16,0.02
50,1.96,0
50,0.87,0
50,0.65,0
50,0.34,0
50,0.98,0
50,2.29,0
50,1.28,0
50,0.88,0
50,0.28,0
50,1.12,0
50,1.96,0
50,1.42,0
50,1.27,0
50,0.36,0
50,1.27,0
50,1.8,0
50,1.54,0
50,1.36,0
50,0,0
50,1.27,0
50,1.92,0
50,2.48,0
50,1.7,0
50,0.88,0
50,1.5,0
50,3.47,0
50,2.85,0
50,1.58,0
50,0.91,0
50,0.9,0
50,2.91,0
50,3.19,0
50,2.48,0
50,0.17,0
50,1.45,0
50,3.81,0
50,3.05,0
50,2.25,0
50,0,0
50,0.99,0
50,3.8,0
50,3.68,0
50,2.97,0
50,0,0
50,1.37,0
50,4.72,0
50,4.95,0
50,2.41,0
50,0,0
50,1.76,0
50,5,0
50,4.43,0
50,2.12,0
50,0,0
50,1.56,0
50,5,0
50,5,0
50,3.07,0
50,0,0
55.0kHz,,
55,2.61,0
55,3.59,0
55,4.13,0
55,4.48,0
55,4.77,0
55,4.38,0
55,1.13,0
55,1.92,0
55,2.51,0
55,3.63,0
55,4.13,0
55,4.44,0
55,4.44,0
55,4.52,0
55,2.64,0
55,1.88,0
55,2.49,0
55,3.8,0
55,3.5,0
55,4.22,0
55,4.41,0
55,4.74,0
55,3.98,0
55,1.65,0
55,2.35,0
55,3.57,0
55,3.97,0
55,4.2,0
55,4.38,0
55,4.54,0
55,4.74,0
55,1.4,0
55,2.14,0
55,2.44,0
55,3.23,0
55,4.18,0
55,4.32,0
55,4.19,0
55,4.29,0
55,3.68,0
55,2.2,0
55,3.03,0
55,2.74,0
55,3.16,0
55,4.35,0
55,4.64,0
55,4.78,0
55,4.43,0
55,1.52,0
55,2.48,0
55,2.28,0
55,3.15,0
55,3.89,0
55,3.62,0
55,4.42,0
55,4.72,0
55,2,0
55,2.19,0
55,2.45,0
55,3.42,0
60.0kHz,,
60,0.05,0
60,0.88,0
60,0.49,0
60,0.26,0
60,0.16,0
60,0.61,0
60,1.39,0
60,1.09,0
60,3.66,0
60,4.71,0
60,5,0
60,5,0
60,5,0
60,5,0
60,1.89,0
60,2.59,0
60,4.34,0
60,4.86,0
60,4.47,0
60,3.57,0
60,2.15,0
60,2.1,0
60,2.38,0
60,1.6,0
60,1,0
60,0.67,0
60,0.81,0
60,0.95,0
60,0.66,0
60,0.74,0
60,0.59,0
60,1.22,0
60,1.85,0
60,2.64,0
60,2.77,0
60,2.45,0
60,3.18,0
60,2.66,0
60,2.86,0
60,1.77,0
60,1.42,0
60,2.15,0
60,2.77,0
60,2.95,0
60,2.53,0
60,2.5,0
60,1.77,0
60,1.09,0
60,0.9,0
60,0.5,0
60,0.46,0
60,0.4,0
60,1.43,0
60,1.26,0
60,1.62,0
60,1.23,0
60,2.05,0
60,1.89,0
60,2.15,0
60,2.25,0
65.0kHz,,
65,3.36,0
65,4,0
65,3.55,0
65,4.37,0
65,4.37,0
65,5,0
65,4.33,0
65,3.98,0
65,2.51,0
65,2.38,0.01
65,3.67,0.01
65,2.6,0
65,3.42,0
65,3.19,0.01
65,3.63,0
65,2.21,0
65,2.9,0.01
65,3.15,0.01
65,3.81,0.01
65,3.58,0
65,3.29,0.01
65,3.08,0
65,4.13,0
65,4.38,0.01
65,3.83,0.01
65,3.83,0.01
65,3.7,0.01
65,3.8,0.01
65,3.69,0.01
65,3.65,0.01
65,3.42,0.01
65,3.21,0.01
65,2.93,0.01
65,1.79,0.01
65,2.65,0
65,2.85,0.01
65,2.89,0
65,2.68,0.01
65,3.2,0.01
65,3.25,0.01
65,3.49,0.01
65,3.36,0
65,3.72,0.01
65,3.77,0.01
65,3.5,0.01
65,3.3,0.01
65,4.55,0
65,3.61,0.01
65,4.36,0.01
65,4.14,0
65,3.37,0.01
65,4.54,0.01
65,3.25,0
65,3.26,0.01
65,3.27,0.01
65,2.97,0.01
65,3.07,0.01
65,1.96,0.01
65,1.81,0.01
65,2.79,0.01
70.0kHz,,
70,1.05,0.05
70,0.3,0.04
70,1.84,0.04
70,2.17,0.05
70,2.21,0.04
70,1.75,0.04
70,1.55,0.04
70,0.1,0.04
70,1.56,0.04
70,1.8,0.04
70,2.15,0.04
70,2.91,0.04
70,2.84,0.04
70,2.82,0.05
70,2.81,0.04
70,0.42,0.05
70,0.43,0.05
70,0.69,0.04
70,2.86,0.05
70,3.35,0.05
70,4.18,0.05
70,4.28,0.05
70,5,0.04
70,3.97,0.04
70,0.34,0.04
70,0,0.04
70,1.92,0.04
70,3.73,0.04
70,4.93,0.05
70,2.52,0.04
70,5,0.04
70,5,0.05
70,4.12,0.04
70,1.27,0.04
70,1.3,0.05
70,3.22,0.04
70,4.39,0.05
70,3.14,0.05
70,3.56,0.05
70,5,0.04
70,3.94,0.05
70,2.63,0.05
70,2.6,0.04
70,3.48,0.04
70,4.92,0.05
70,3.8,0.04
70,3.24,0.04
70,2.92,0.04
70,2.55,0.04
70,3.33,0.04
70,3.2,0.04
70,3.56,0.04
70,3.25,0.04
70,4.26,0.04
70,1.93,0.04
70,2.84,0.04
70,2.88,0.04
70,3.44,0.04
70,3.75,0.05
70,4.03,0.04
75.0kHz,,
75,2.86,0.09
75,1.04,0.09
75,0,0.09
75,0,0.1
75,1.76,0.1
75,2.55,0.1
75,0,0.09
75,0,0.09
75,0,0.09
75,1.89,0.1
75,0.66,0.1
75,0,0.09
75,0,0.1
75,0,0.09
75,1.48,0.08
75,1.06,0.1
75,0,0.1
75,0,0.1
75,0,0.09
75,1.66,0.1
75,0,0.1
75,0,0.1
75,0.07,0.09
75,0.53,0.1
75,1.87,0.1
75,0,0.09
75,0,0.1
75,0,0.09
75,0.21,0.09
75,1.68,0.09
75,0.14,0.1
75,0,0.1
75,0,0.09
75,0.35,0.09
75,1.99,0.1
75,0.28,0.1
75,0.29,0.1
75,0,0.1
75,0.66,0.09
75,1.79,0.1
75,1,0.1
75,0.69,0.1
75,0,0.1
75,0.77,0.09
75,1.96,0.09
75,1.68,0.1
75,0.43,0.1
75,0,0.1
75,1.63,0.1
75,2,0.1
75,1.47,0.1
75,0.79,0.1
75,0,0.09
75,1.76,0.16
75,2.13,0.1
75,1.54,0.09
75,0.46,0.1
75,0,0.1
75,2.39,0.1
75,2.09,0.1
80.0kHz,,
80,0.9,0.12
80,0,0.12
80,0.76,0.12
80,2.16,0.12
80,0,0.12
80,1.8,0.12
80,2.93,0.12
80,1.38,0.12
80,0,0.12
80,1.84,0.12
80,1.71,0.11
80,0,0.12
80,0.96,0.12
80,1.71,0.12
80,1.34,0.12
80,0,0.12
80,1.8,0.12
80,1.95,0.12
80,0,0.12
80,0.92,0.13
80,1.76,0.12
80,1.27,0.12
80,0,0.12
80,1.77,0.12
80,2.93,0.12
80,0.05,0.12
80,0,0.12
80,1.22,0.12
80,1.38,0.13
80,0,0.12
80,1.52,0.11
80,2.62,0.12
80,1.13,0.12
80,0,0.12
80,2.03,0.12
80,2.71,0.12
80,0,0.12
80,1.2,0.11
80,3.56,0.12
80,1.46,0.12
80,0,0.12
80,1.95,0.12
80,2.89,0.12
80,0,0.12
80,0.99,0.12
80,2.8,0.12
80,1.77,0.14
80,0,0.12
80,1.97,0.12
80,2.83,0.12
80,0,0.12
80,0,0.12
80,1.76,0.12
80,1.71,0.12
80,0,0.12
80,1.89,0.19
80,3.73,0.12
80,0.81,0.12
80,0,0.12
80,2.34,0.12
85.0kHz,,
85,3.09,0.16
85,0,0.13
85,2.04,0.13
85,4.65,0.13
85,0.87,0.14
85,2.21,0.14
85,3.41,0.14
85,0.73,0.13
85,0.08,0.14
85,2.05,0.13
85,1.05,0.14
85,3.12,0.14
85,0.61,0.14
85,2.54,0.14
85,4.39,0.14
85,0,0.14
85,2.12,0.14
85,4.5,0.09
85,2.36,0.14
85,2.18,0.13
85,2.35,0.14
85,1.9,0.14
85,2.28,0.14
85,1.34,0.21
85,2.91,0.14
85,3.52,0.14
85,0,0.17
85,2.1,0.14
85,4.05,0.14
85,0,0.14
85,1.94,0.14
85,2.17,0.14
85,1.69,0.13
85,0.85,0.14
85,1.47,0.14
85,1.58,0.14
85,4.36,0.14
85,0,0.14
85,1.8,0.14
85,4.03,0.14
85,0,0.14
85,1.82,0.14
85,2.41,0.14
85,0,0.14
85,2.01,0.14
85,1.61,0.14
85,0.6,0.12
85,2.84,0.14
85,0.93,0.14
85,0.6,0.14
85,3.03,0.14
85,0,0.14
85,1.95,0.16
85,1.65,0.14
85,0,0.14
85,1.95,0.15
85,1.72,0.14
85,0.24,0.14
85,2.05,0.14
85,1.41,0.14
90.0kHz,,
90,0,0.17
90,2.71,0.17
90,0,0.17
90,2.18,0.17
90,1.67,0.18
90,2.04,0.17
90,3.34,0.17
90,0.8,0.17
90,3.03,0.17
90,0.03,0.17
90,1.87,0.18
90,0.06,0.17
90,2.25,0.17
90,2.12,0.17
90,1.61,0.17
90,3.28,0.17
90,1.06,0.17
90,2.85,0.18
90,0,0.18
90,2.86,0.18
90,1.09,0.19
90,1.98,0.18
90,2.84,0.17
90,1.11,0.17
90,3.21,0.17
90,0.43,0.18
90,2.64,0.18
90,0,0.18
90,2.48,0.19
90,1.42,0.18
90,1.97,0.18
90,2.8,0.17
90,1.26,0.17
90,2.87,0.17
90,0.28,0.18
90,3.06,0.18
90,0,0.19
90,2.39,0.18
90,1.77,0.18
90,1.6,0.17
90,3.19,0.19
90,0.65,0.18
90,3.16,0.18
90,0,0.18
90,2.73,0.18
90,0.14,0.18
90,2.19,0.18
90,2.11,0.18
90,1.4,0.18
90,2.76,0.18
90,0.14,0.18
90,2.21,0.18
90,0,0.15
90,2.39,0.18
90,1.1,0.18
90,1.89,0.18
90,2.56,0.19
90,1.38,0.18
90,3.05,0.18
90,0,0.18
95.0kHz,,
95,0,0.24
95,4.21,0.24
95,0.15,0.24
95,3.39,0.24
95,0.72,0.26
95,3.66,0.24
95,1.36,0.24
95,2.54,0.24
95,1.78,0.24
95,2.24,0.24
95,1.28,0.24
95,2.39,0.26
95,0.59,0.24
95,1.36,0.24
95,0.55,0.24
95,0.29,0.24
95,1.11,0.24
95,1.09,0.23
95,3.01,0.25
95,0,0.24
95,3.61,0.24
95,0,0.24
95,3.7,0.24
95,0,0.24
95,3.69,0.23
95,0,0.24
95,3.89,0.24
95,0.22,0.25
95,3.26,0.25
95,1.17,0.25
95,2.94,0.2
95,1.66,0.25
95,2.14,0.25
95,1.41,0.24
95,1.87,0.24
95,0.94,0.24
95,1.38,0.24
95,0.95,0.25
95,1.33,0.24
95,1.98,0.24
95,1.45,0.25
95,1.65,0.25
95,0.54,0.25
95,2.41,0.25
95,0.01,0.24
95,3.11,0.25
95,0,0.25
95,2.51,0.25
95,0,0.25
95,2.88,0.25
95,0.74,0.25
95,2.87,0.25
95,1.36,0.25
95,2.8,0.25
95,1.5,0.25
95,2.46,0.25
95,1.36,0.25
95,1.87,0.3
95,0.85,0.25
95,3.27,0.25
100.0kHz,,
100,2.76,0.4
100,0.9,0.43
100,0.45,0.44
100,5,0.44
100,1,0.44
100,2.07,0.44
100,1.18,0.44
100,0.56,0.44
100,3.84,0.43
100,1.62,0.44
100,2.68,0.44
100,0.26,0.44
100,1.46,0.44
100,4.81,0.44
100,0.97,0.44
100,2.27,0.45
100,1.73,0.46
100,0.99,0.43
100,3.44,0.44
100,1.26,0.44
100,2.02,0.44
100,0.73,0.44
100,0.34,0.44
100,3.73,0.44
100,1.27,0.44
100,2.02,0.44
100,1.3,0.44
100,0.09,0.44
100,4.19,0.44
100,1.62,0.44
100,1.9,0.44
100,1.48,0.44
100,0,0.44
100,4.11,0.43
100,1.47,0.51
100,2.27,0.46
100,1.7,0.45
100,0.38,0.44
100,3.91,0.44
100,1.46,0.44
100,1.89,0.44
100,2.65,0.44
100,0,0.44
100,4.2,0.44
100,1.51,0.44
100,2.07,0.44
100,1.33,0.44
100,0.23,0.44
100,3.45,0.44
100,1.37,0.44
100,2.61,0.44
100,0,0.44
100,2.35,0.45
100,2.57,0.47
100,1.57,0.45
100,3.81,0.44
100,0,0.44
100,2.09,0.44
100,1.5,0.44
100,1.62,0.44
stop,,
