increase_frequency:10000 first_frequency:5 last_frequency:100
frequency transmission_ep receiving_ep
5kHz
5 0.09 0.00 
5 0.02 0.00 
5 0.01 0.00 
5 0.00 0.00 
5 0.03 0.00 
5 0.00 0.00 
5 0.01 0.00 
5 0.01 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.01 0.00 
5 0.05 0.00 
5 0.00 0.00 
5 0.01 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.01 0.00 
5 0.04 0.00 
5 0.01 0.00 
5 0.01 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.03 0.00 
5 0.01 0.00 
5 0.01 0.00 
5 0.01 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.02 0.00 
5 0.01 0.00 
5 0.01 0.00 
5 0.01 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.02 0.00 
5 0.04 0.00 
5 0.01 0.00 
5 0.01 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.04 0.00 
5 0.01 0.00 
5 0.01 0.00 
5 0.01 0.00 
5 0.00 0.00 
5 0.01 0.00 
5 0.04 0.00 
5 0.00 0.00 
15.0kHz
15.0 0.03 0.00 
15.0 0.05 0.00 
15.0 0.11 0.00 
15.0 0.02 0.00 
15.0 0.01 0.00 
15.0 0.09 0.00 
15.0 0.05 0.00 
15.0 0.03 0.01 
15.0 0.09 0.00 
15.0 0.03 0.00 
15.0 0.00 0.00 
15.0 0.09 0.00 
15.0 0.07 0.01 
15.0 0.20 0.01 
15.0 0.09 0.01 
15.0 0.10 0.00 
15.0 0.00 0.01 
15.0 0.04 0.00 
15.0 0.07 0.01 
15.0 0.00 0.00 
15.0 0.07 0.01 
15.0 0.12 0.01 
15.0 0.00 0.01 
15.0 0.02 0.01 
15.0 0.08 0.01 
15.0 0.02 0.01 
15.0 0.05 0.01 
15.0 0.10 0.00 
15.0 0.01 0.01 
15.0 0.02 0.00 
15.0 0.08 0.01 
15.0 0.03 0.01 
15.0 0.04 0.01 
15.0 0.11 0.01 
15.0 0.02 0.01 
15.0 0.01 0.01 
15.0 0.09 0.01 
15.0 0.04 0.01 
15.0 0.01 0.01 
15.0 0.09 0.00 
15.0 0.10 0.01 
15.0 0.01 0.01 
15.0 0.06 0.01 
15.0 0.06 0.01 
15.0 0.00 0.01 
15.0 0.08 0.01 
15.0 0.10 0.00 
15.0 0.01 0.01 
15.0 0.03 0.01 
15.0 0.08 0.00 
25.0kHz
25.0 0.46 0.11 
25.0 0.48 0.13 
25.0 0.49 0.12 
25.0 0.47 0.13 
25.0 0.47 0.12 
25.0 0.46 0.12 
25.0 0.47 0.12 
25.0 0.49 0.12 
25.0 0.46 0.12 
25.0 0.48 0.12 
25.0 0.47 0.12 
25.0 0.48 0.12 
25.0 0.47 0.12 
25.0 0.47 0.13 
25.0 0.48 0.13 
25.0 0.47 0.13 
25.0 0.47 0.13 
25.0 0.51 0.13 
25.0 0.47 0.13 
25.0 0.47 0.13 
25.0 0.47 0.13 
25.0 0.47 0.13 
25.0 0.47 0.12 
25.0 0.47 0.13 
25.0 0.46 0.13 
25.0 0.46 0.12 
25.0 0.47 0.13 
25.0 0.51 0.13 
25.0 0.47 0.13 
25.0 0.47 0.12 
25.0 0.47 0.10 
25.0 0.48 0.13 
25.0 0.47 0.10 
25.0 0.48 0.13 
25.0 0.48 0.13 
25.0 0.47 0.12 
25.0 0.48 0.14 
25.0 0.52 0.12 
25.0 0.47 0.12 
25.0 0.48 0.12 
25.0 0.47 0.13 
25.0 0.48 0.12 
25.0 0.47 0.12 
25.0 0.47 0.12 
25.0 0.48 0.12 
25.0 0.47 0.12 
25.0 0.48 0.12 
25.0 0.52 0.12 
25.0 0.48 0.12 
25.0 0.48 0.12 
35.0kHz
35.0 0.56 0.23 
35.0 0.53 0.19 
35.0 0.58 0.19 
35.0 0.56 0.19 
35.0 0.59 0.19 
35.0 0.76 0.19 
35.0 0.61 0.19 
35.0 0.54 0.19 
35.0 0.76 0.19 
35.0 0.65 0.19 
35.0 0.53 0.19 
35.0 0.75 0.19 
35.0 0.64 0.19 
35.0 0.53 0.19 
35.0 0.72 0.19 
35.0 0.69 0.19 
35.0 0.50 0.19 
35.0 0.69 0.19 
35.0 0.73 0.19 
35.0 0.54 0.20 
35.0 0.70 0.19 
35.0 0.73 0.19 
35.0 0.53 0.18 
35.0 0.65 0.19 
35.0 0.77 0.19 
35.0 0.54 0.17 
35.0 0.58 0.19 
35.0 0.53 0.19 
35.0 0.55 0.18 
35.0 0.62 0.19 
35.0 0.77 0.20 
35.0 0.59 0.19 
35.0 0.56 0.19 
35.0 0.78 0.19 
35.0 0.64 0.19 
35.0 0.48 0.19 
35.0 0.76 0.19 
35.0 0.62 0.19 
35.0 0.54 0.19 
35.0 0.74 0.19 
35.0 0.67 0.20 
35.0 0.51 0.19 
35.0 0.72 0.19 
35.0 0.72 0.19 
35.0 0.69 0.19 
35.0 0.72 0.19 
35.0 0.71 0.19 
35.0 0.52 0.21 
35.0 0.68 0.19 
35.0 0.76 0.19 
45.0kHz
45.0 0.52 0.11 
45.0 0.59 0.11 
45.0 0.46 0.10 
45.0 0.44 0.11 
45.0 0.44 0.11 
45.0 0.44 0.11 
45.0 0.50 0.11 
45.0 0.48 0.11 
45.0 0.45 0.09 
45.0 0.44 0.11 
45.0 0.47 0.11 
45.0 0.45 0.11 
45.0 0.46 0.11 
45.0 0.50 0.11 
45.0 0.51 0.11 
45.0 0.44 0.11 
45.0 0.43 0.10 
45.0 0.47 0.11 
45.0 0.48 0.11 
45.0 0.51 0.11 
45.0 0.47 0.11 
45.0 0.47 0.11 
45.0 0.43 0.11 
45.0 0.43 0.11 
45.0 0.50 0.09 
45.0 0.50 0.12 
45.0 0.63 0.11 
45.0 0.45 0.11 
45.0 0.46 0.11 
45.0 0.45 0.11 
45.0 0.47 0.12 
45.0 0.51 0.12 
45.0 0.51 0.13 
45.0 0.46 0.11 
45.0 0.44 0.11 
45.0 0.45 0.10 
45.0 0.44 0.11 
45.0 0.45 0.10 
45.0 0.50 0.11 
45.0 0.50 0.11 
45.0 0.44 0.11 
45.0 0.43 0.11 
45.0 0.30 0.11 
45.0 0.48 0.11 
45.0 0.53 0.11 
45.0 0.49 0.11 
45.0 0.49 0.11 
45.0 0.43 0.11 
45.0 0.42 0.14 
45.0 0.49 0.11 
55.0kHz
55.0 0.01 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.05 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
65.0kHz
65.0 0.32 0.00 
65.0 0.31 0.01 
65.0 0.31 0.01 
65.0 0.32 0.01 
65.0 0.32 0.01 
65.0 0.34 0.01 
65.0 0.35 0.01 
65.0 0.37 0.02 
65.0 0.39 0.01 
65.0 0.40 0.01 
65.0 0.41 0.01 
65.0 0.24 0.01 
65.0 0.37 0.01 
65.0 0.38 0.01 
65.0 0.39 0.01 
65.0 0.39 0.00 
65.0 0.38 0.01 
65.0 0.38 0.01 
65.0 0.36 0.01 
65.0 0.34 0.01 
65.0 0.33 0.01 
65.0 0.30 0.01 
65.0 0.28 0.01 
65.0 0.31 0.01 
65.0 0.42 0.01 
65.0 0.34 0.01 
65.0 0.32 0.01 
65.0 0.31 0.01 
65.0 0.31 0.01 
65.0 0.32 0.01 
65.0 0.33 0.02 
65.0 0.35 0.01 
65.0 0.37 0.01 
65.0 0.38 0.01 
65.0 0.39 0.01 
65.0 0.41 0.01 
65.0 0.32 0.01 
65.0 0.37 0.01 
65.0 0.38 0.02 
65.0 0.39 0.01 
65.0 0.40 0.01 
65.0 0.39 0.01 
65.0 0.38 0.01 
65.0 0.38 0.01 
65.0 0.35 0.01 
65.0 0.33 0.01 
65.0 0.31 0.01 
65.0 0.30 0.01 
65.0 0.29 0.01 
65.0 0.56 0.02 
75.0kHz
75.0 1.12 0.16 
75.0 1.05 0.16 
75.0 1.02 0.20 
75.0 1.03 0.16 
75.0 1.04 0.19 
75.0 1.13 0.16 
75.0 1.04 0.14 
75.0 1.04 0.16 
75.0 1.03 0.15 
75.0 1.15 0.16 
75.0 1.13 0.16 
75.0 1.05 0.16 
75.0 1.03 0.16 
75.0 1.03 0.16 
75.0 1.08 0.16 
75.0 1.13 0.16 
75.0 1.06 0.16 
75.0 1.03 0.12 
75.0 1.03 0.16 
75.0 1.10 0.16 
75.0 1.13 0.16 
75.0 1.04 0.16 
75.0 1.09 0.16 
75.0 1.02 0.16 
75.0 1.16 0.16 
75.0 1.13 0.16 
75.0 1.06 0.15 
75.0 1.13 0.16 
75.0 1.03 0.22 
75.0 1.10 0.16 
75.0 1.12 0.15 
75.0 1.06 0.16 
75.0 1.17 0.17 
75.0 1.03 0.16 
75.0 1.16 0.15 
75.0 1.12 0.16 
75.0 1.05 0.16 
75.0 1.21 0.16 
75.0 1.03 0.16 
75.0 1.12 0.15 
75.0 1.13 0.16 
75.0 1.07 0.17 
75.0 1.21 0.16 
75.0 1.02 0.15 
75.0 1.10 0.16 
75.0 1.13 0.16 
75.0 1.06 0.16 
75.0 1.23 0.16 
75.0 1.01 0.15 
75.0 1.16 0.16 
85.0kHz
85.0 1.62 0.31 
85.0 1.51 0.30 
85.0 1.52 0.31 
85.0 1.59 0.31 
85.0 1.54 0.33 
85.0 1.67 0.31 
85.0 1.50 0.31 
85.0 1.59 0.26 
85.0 1.70 0.31 
85.0 1.76 0.31 
85.0 1.65 0.33 
85.0 1.67 0.31 
85.0 1.52 0.31 
85.0 1.70 0.30 
85.0 1.62 0.31 
85.0 1.52 0.31 
85.0 1.58 0.30 
85.0 1.53 0.31 
85.0 1.55 0.29 
85.0 1.70 0.31 
85.0 1.59 0.31 
85.0 1.59 0.32 
85.0 1.70 0.30 
85.0 1.67 0.31 
85.0 1.70 0.31 
85.0 1.66 0.31 
85.0 1.51 0.31 
85.0 1.53 0.36 
85.0 1.57 0.31 
85.0 1.52 0.31 
85.0 1.77 0.32 
85.0 1.50 0.31 
85.0 1.57 0.31 
85.0 1.70 0.28 
85.0 1.73 0.31 
85.0 1.63 0.31 
85.0 1.68 0.31 
85.0 1.52 0.31 
85.0 1.62 0.30 
85.0 1.63 0.31 
85.0 1.52 0.31 
85.0 1.50 0.31 
85.0 1.56 0.30 
85.0 1.53 0.31 
85.0 1.69 0.31 
85.0 1.55 0.31 
85.0 1.59 0.31 
85.0 1.69 0.33 
85.0 1.73 0.30 
85.0 1.64 0.31 
95.0kHz
95.0 1.50 0.45 
95.0 1.36 0.36 
95.0 1.45 0.38 
95.0 1.41 0.39 
95.0 1.42 0.38 
95.0 1.46 0.38 
95.0 1.37 0.39 
95.0 1.53 0.36 
95.0 1.30 0.40 
95.0 1.49 0.38 
95.0 1.24 0.39 
95.0 1.43 0.39 
95.0 1.38 0.38 
95.0 1.37 0.46 
95.0 1.50 0.37 
95.0 1.48 0.38 
95.0 1.30 0.39 
95.0 1.57 0.39 
95.0 1.26 0.39 
95.0 1.58 0.39 
95.0 1.26 0.36 
95.0 1.58 0.40 
95.0 1.28 0.39 
95.0 1.55 0.39 
95.0 1.30 0.39 
95.0 1.53 0.39 
95.0 1.34 0.46 
95.0 1.48 0.37 
95.0 1.37 0.38 
95.0 1.43 0.39 
95.0 1.43 0.39 
95.0 1.39 0.39 
95.0 1.49 0.39 
95.0 1.37 0.35 
95.0 1.55 0.40 
95.0 1.32 0.39 
95.0 1.57 0.39 
95.0 1.29 0.39 
95.0 1.43 0.39 
95.0 1.36 0.47 
95.0 1.27 0.38 
95.0 1.46 0.38 
95.0 1.58 0.39 
95.0 1.26 0.39 
95.0 1.58 0.39 
95.0 1.26 0.40 
95.0 1.59 0.35 
95.0 1.27 0.40 
95.0 1.56 0.39 
95.0 1.29 0.39 
100kHz
100 1.22 0.43 
100 1.27 0.42 
100 1.11 0.42 
100 1.51 0.43 
100 1.34 0.45 
100 1.14 0.44 
100 1.38 0.44 
100 1.10 0.45 
100 1.51 0.45 
100 1.35 0.45 
100 1.16 0.45 
100 1.41 0.45 
100 1.11 0.45 
100 1.52 0.45 
100 1.32 0.45 
100 1.23 0.45 
100 1.32 0.45 
100 1.11 0.46 
100 1.52 0.52 
100 1.34 0.48 
100 1.19 0.47 
100 1.39 0.46 
100 1.11 0.46 
100 1.53 0.45 
100 1.32 0.46 
100 1.16 0.45 
100 1.50 0.45 
100 1.11 0.46 
100 1.53 0.46 
100 1.33 0.46 
100 1.24 0.46 
100 1.41 0.46 
100 1.09 0.45 
100 1.54 0.45 
100 1.30 0.43 
100 1.23 0.53 
100 1.45 0.48 
100 1.13 0.48 
100 1.55 0.45 
100 1.30 0.46 
100 1.19 0.46 
100 1.53 0.46 
100 1.11 0.46 
100 1.55 0.45 
100 1.29 0.45 
100 1.23 0.45 
100 1.46 0.45 
100 1.10 0.45 
100 1.55 0.45 
100 1.28 0.45 
stop
increase_frequency:10000 first_frequency:5 last_frequency:100
frequency transmission_ep receiving_ep
5kHz
5 0.00 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.01 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.01 0.00 
5 0.01 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.01 0.00 
5 0.01 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.01 0.00 
5 0.01 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.01 0.00 
5 0.01 0.00 
5 0.00 0.00 
5 0.01 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.01 0.00 
5 0.01 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.01 0.00 
5 0.02 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.00 0.00 
5 0.02 0.00 
5 0.00 0.00 
15.0kHz
15.0 0.12 0.00 
15.0 0.03 0.00 
15.0 0.04 0.00 
15.0 0.10 0.00 
15.0 0.06 0.00 
15.0 0.07 0.01 
15.0 0.12 0.01 
15.0 0.05 0.00 
15.0 0.03 0.01 
15.0 0.11 0.01 
15.0 0.07 0.01 
15.0 0.07 0.01 
15.0 0.12 0.01 
15.0 0.06 0.01 
15.0 0.04 0.00 
15.0 0.11 0.01 
15.0 0.09 0.01 
15.0 0.19 0.01 
15.0 0.10 0.01 
15.0 0.14 0.00 
15.0 0.04 0.01 
15.0 0.07 0.00 
15.0 0.09 0.01 
15.0 0.05 0.01 
15.0 0.09 0.01 
15.0 0.13 0.01 
15.0 0.04 0.01 
15.0 0.05 0.01 
15.0 0.10 0.01 
15.0 0.05 0.01 
15.0 0.08 0.01 
15.0 0.12 0.01 
15.0 0.05 0.01 
15.0 0.04 0.01 
15.0 0.11 0.01 
15.0 0.08 0.01 
15.0 0.07 0.01 
15.0 0.12 0.01 
15.0 0.06 0.01 
15.0 0.04 0.01 
15.0 0.10 0.01 
15.0 0.09 0.01 
15.0 0.20 0.01 
15.0 0.10 0.01 
15.0 0.12 0.01 
15.0 0.04 0.01 
15.0 0.08 0.01 
15.0 0.10 0.01 
15.0 0.04 0.01 
15.0 0.10 0.01 
25.0kHz
25.0 0.57 0.21 
25.0 0.60 0.23 
25.0 0.63 0.23 
25.0 0.61 0.23 
25.0 0.61 0.23 
25.0 0.60 0.23 
25.0 0.61 0.23 
25.0 0.62 0.23 
25.0 0.61 0.23 
25.0 0.61 0.23 
25.0 0.60 0.23 
25.0 0.61 0.23 
25.0 0.62 0.23 
25.0 0.61 0.24 
25.0 0.62 0.24 
25.0 0.60 0.23 
25.0 0.60 0.23 
25.0 0.63 0.23 
25.0 0.61 0.23 
25.0 0.61 0.23 
25.0 0.60 0.23 
25.0 0.61 0.23 
25.0 0.63 0.23 
25.0 0.61 0.29 
25.0 0.61 0.23 
25.0 0.60 0.25 
25.0 0.60 0.23 
25.0 0.64 0.25 
25.0 0.61 0.23 
25.0 0.61 0.23 
25.0 0.60 0.23 
25.0 0.61 0.23 
25.0 0.64 0.23 
25.0 0.61 0.23 
25.0 0.62 0.23 
25.0 0.61 0.23 
25.0 0.61 0.24 
25.0 0.63 0.23 
25.0 0.62 0.24 
25.0 0.62 0.24 
25.0 0.61 0.24 
25.0 0.61 0.24 
25.0 0.63 0.24 
25.0 0.62 0.23 
25.0 0.62 0.24 
25.0 0.60 0.24 
25.0 0.61 0.23 
25.0 0.63 0.24 
25.0 0.62 0.24 
25.0 0.62 0.24 
35.0kHz
35.0 0.65 0.27 
35.0 0.84 0.26 
35.0 0.71 0.26 
35.0 0.56 0.26 
35.0 0.82 0.26 
35.0 0.71 0.27 
35.0 0.64 0.27 
35.0 0.81 0.26 
35.0 0.76 0.27 
35.0 0.61 0.27 
35.0 0.79 0.27 
35.0 0.84 0.27 
35.0 0.75 0.27 
35.0 0.79 0.26 
35.0 0.78 0.27 
35.0 0.62 0.27 
35.0 0.74 0.25 
35.0 0.83 0.27 
35.0 0.64 0.27 
35.0 0.70 0.23 
35.0 0.67 0.27 
35.0 0.65 0.27 
35.0 0.72 0.23 
35.0 0.84 0.27 
35.0 0.67 0.27 
35.0 0.67 0.26 
35.0 0.85 0.27 
35.0 0.71 0.27 
35.0 0.58 0.27 
35.0 0.83 0.27 
35.0 0.71 0.27 
35.0 0.65 0.27 
35.0 0.83 0.27 
35.0 0.75 0.27 
35.0 0.62 0.27 
35.0 0.80 0.27 
35.0 0.83 0.27 
35.0 0.79 0.27 
35.0 0.80 0.27 
35.0 0.78 0.27 
35.0 0.62 0.27 
35.0 0.76 0.28 
35.0 0.82 0.27 
35.0 0.64 0.27 
35.0 0.71 0.29 
35.0 0.69 0.27 
35.0 0.65 0.27 
35.0 0.73 0.34 
35.0 0.84 0.27 
35.0 0.66 0.27 
45.0kHz
45.0 0.54 0.18 
45.0 0.54 0.16 
45.0 0.57 0.16 
45.0 0.56 0.15 
45.0 0.53 0.15 
45.0 0.50 0.16 
45.0 0.52 0.16 
45.0 0.52 0.16 
45.0 0.54 0.15 
45.0 0.57 0.12 
45.0 0.57 0.16 
45.0 0.51 0.16 
45.0 0.49 0.16 
45.0 0.62 0.16 
45.0 0.54 0.16 
45.0 0.53 0.16 
45.0 0.50 0.16 
45.0 0.54 0.16 
45.0 0.51 0.16 
45.0 0.50 0.16 
45.0 0.57 0.16 
45.0 0.56 0.16 
45.0 0.56 0.16 
45.0 0.53 0.16 
45.0 0.55 0.16 
45.0 0.51 0.17 
45.0 0.54 0.16 
45.0 0.55 0.16 
45.0 0.57 0.16 
45.0 0.54 0.16 
45.0 0.52 0.16 
45.0 0.45 0.16 
45.0 0.52 0.16 
45.0 0.54 0.19 
45.0 0.53 0.15 
45.0 0.57 0.16 
45.0 0.51 0.16 
45.0 0.53 0.16 
45.0 0.38 0.16 
45.0 0.55 0.16 
45.0 0.54 0.16 
45.0 0.55 0.16 
45.0 0.55 0.15 
45.0 0.52 0.16 
45.0 0.51 0.16 
45.0 0.58 0.16 
45.0 0.55 0.16 
45.0 0.55 0.16 
45.0 0.55 0.16 
45.0 0.54 0.12 
55.0kHz
55.0 0.00 0.07 
55.0 0.00 0.03 
55.0 0.00 0.01 
55.0 0.00 0.01 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
65.0kHz
65.0 0.43 0.02 
65.0 0.45 0.04 
65.0 0.46 0.04 
65.0 0.46 0.04 
65.0 0.45 0.03 
65.0 0.44 0.04 
65.0 0.43 0.04 
65.0 0.41 0.04 
65.0 0.40 0.05 
65.0 0.37 0.04 
65.0 0.41 0.04 
65.0 0.52 0.05 
65.0 0.41 0.06 
65.0 0.41 0.04 
65.0 0.40 0.04 
65.0 0.40 0.05 
65.0 0.40 0.04 
65.0 0.40 0.05 
65.0 0.42 0.05 
65.0 0.43 0.04 
65.0 0.43 0.04 
65.0 0.45 0.05 
65.0 0.48 0.05 
65.0 0.46 0.02 
65.0 0.34 0.05 
65.0 0.43 0.04 
65.0 0.45 0.04 
65.0 0.45 0.05 
65.0 0.46 0.04 
65.0 0.46 0.05 
65.0 0.45 0.04 
65.0 0.43 0.05 
65.0 0.41 0.05 
65.0 0.40 0.04 
65.0 0.40 0.05 
65.0 0.41 0.05 
65.0 0.43 0.04 
65.0 0.43 0.05 
65.0 0.40 0.05 
65.0 0.40 0.04 
65.0 0.39 0.04 
65.0 0.39 0.05 
65.0 0.39 0.03 
65.0 0.41 0.04 
65.0 0.43 0.05 
65.0 0.44 0.04 
65.0 0.45 0.05 
65.0 0.47 0.04 
65.0 0.42 0.04 
65.0 0.25 0.04 
75.0kHz
75.0 1.26 0.25 
75.0 1.29 0.30 
75.0 1.30 0.25 
75.0 1.19 0.28 
75.0 1.22 0.25 
75.0 1.29 0.24 
75.0 1.30 0.25 
75.0 1.30 0.25 
75.0 1.18 0.25 
75.0 1.21 0.25 
75.0 1.27 0.26 
75.0 1.30 0.25 
75.0 1.30 0.24 
